expert,n_systems_rated,n_ratings,fisher_de_total_nats2,fisher_de_per_rating_nats2
Andreas Mogensen,1,40,93.5017821321554,2.3375445533038848
Derek Shiller,3,150,396.1978833156861,2.641319222104574
Felix Binder,1,48,112.84730338291847,2.350985487144135
Hayley chickens,1,47,114.64528866596262,2.4392614609779284
Luhan Mikaelson,1,48,111.90176147075324,2.3312866973073594
Rachael Miller,1,46,112.81735767162687,2.452551253731019
