expert,n_systems_rated,n_ratings,fisher_de_total_nats2,fisher_de_per_rating_nats2
Andreas Mogensen,4,200,520.1083751817931,2.6005418759089656
Derek Shiller,4,200,520.1083751817931,2.6005418759089656
Felix Binder,4,200,520.1083751817931,2.6005418759089656
Hayley chickens,4,200,520.1083751817931,2.6005418759089656
Luhan Mikaelson,4,200,520.1083751817931,2.6005418759089656
Rachael Miller,4,200,520.1083751817931,2.6005418759089656
