prob_bin,n,mean_posterior_p,empirical_z_rate,mean_brier,mean_neg_log_score
"[0.0, 0.1)",30,0.021104791817792366,0.1,0.08889079124698172,0.29855907234531565
"[0.1, 0.2)",5,0.16328773971810834,0.6,0.431198429162189,1.1615251948993273
"[0.2, 0.3)",4,0.24956414335258978,0.25,0.1935498375045054,0.5782090170875012
"[0.4, 0.5)",6,0.4679792668524738,0.8333333333333334,0.2771937672617172,0.7476796658151846
"[0.5, 0.6)",3,0.5776370823901623,0.6666666666666666,0.24307538610418492,0.6794616898542337
"[0.6, 0.7)",15,0.6578034057989337,0.8666666666666667,0.16249110528233912,0.5127527487334478
"[0.7, 0.8)",37,0.7537505977445522,0.9459459459459459,0.08770428804986083,0.34150437808037265
