dgp,fit,leaf,nuisance_truth,design,estimand,parameter,kind,support,demandingness,truth,posterior_mean,posterior_median,posterior_p03,posterior_p97,signed_error,abs_error,squared_error,interval_includes_truth
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__moderately_demanding,beta_abs,moderate support,moderately demanding,0.32484646175833376,0.13824484435662798,0.13713783053068274,0.07575870126081194,0.21598097293341587,-0.18770863122765102,0.18770863122765102,0.035234530237358286,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__moderately_undemanding,beta_abs,moderate support,moderately undemanding,0.6389513159466798,0.13839078908637495,0.1340473325789106,0.07710814116376913,0.21786002735321583,-0.5049039833677691,0.5049039833677691,0.25492803242064044,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__neutral,beta_abs,moderate support,neutral,0.4019584778791272,0.13454023167946183,0.1303467492130191,0.07649644280468015,0.21271708329475664,-0.2716117286661081,0.2716117286661081,0.07377293114899153,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__strongly_demanding,beta_abs,moderate support,strongly demanding,0.12155430769091663,0.10257857481845058,0.09923511531390979,0.05912958259119804,0.16153220775689037,-0.022319192377006844,0.022319192377006844,0.0004981463483618404,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__weakly_demanding,beta_abs,moderate support,weakly demanding,0.2863762716993723,0.11241708967997938,0.10987588446131921,0.0663784503331974,0.174086521681621,-0.17650038723805309,0.17650038723805309,0.031152386695182693,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__weakly_undemanding,beta_abs,moderate support,weakly undemanding,0.3912527556246291,0.14039204469272532,0.13718879768546224,0.08490796253984581,0.21250326187429186,-0.2540639579391668,0.2540639579391668,0.06454849472371472,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__moderately_demanding,beta_abs,strong support,moderately demanding,0.21587260411564355,0.12396604437279653,0.12073263571250414,0.07539922378455864,0.18962949672584717,-0.0951399684031394,0.0951399684031394,0.009051613587750364,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__moderately_undemanding,beta_abs,strong support,moderately undemanding,0.5886514926336597,0.14583397752924043,0.14245185851955589,0.08388920630408168,0.225588693426605,-0.4461996341141038,0.4461996341141038,0.1990941134835601,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__neutral,beta_abs,strong support,neutral,0.3996914320701517,0.12472286491746598,0.12082972831245647,0.07520208736909853,0.1911200615471737,-0.2788617037576952,0.2788617037576952,0.07776384982264456,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__strongly_demanding,beta_abs,strong support,strongly demanding,0.10156225083779936,0.10435345705382193,0.10102223572344143,0.060785841159218645,0.16430352425696754,-0.0005400151143579307,0.0005400151143579307,2.91616323735009e-07,True
