rung_id,rung,rung_description,sweep_beta_pres,sweep_beta_abs,lower_edge_gap,system,n_cases,median_log_B_eff_R1,median_log_B_eff_R0,M,balanced_accuracy,mean_rho_R1,mean_rho_R0,rho_gap,brier_improvement,log_score_improvement,balanced_accuracy_fail,brier_improvement_fail,log_score_improvement_fail,rho_separation_fail,system_threshold_status,system_threshold_fail_reasons,source_pass_fail_label
L2_sweep__0p90_0p10,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.9,0.1,0.8,Chicken,500,4.999361368568101,-4.999315722843146,3.3899234561340004,0.9219999999999999,0.8325826424263421,0.036185755123500585,0.796396887303,0.30655156251780113,0.8048952130052228,False,False,False,False,pass,,pass
L2_sweep__0p90_0p10,L2_sweep,toy depth-3 lower-edge gap sweep with root-to-top edges fixed at 0.90/0.10,0.9,0.1,0.8,LLMs,500,4.999368454074929,-4.393005780148023,3.058004713448023,0.9179999999999999,0.8346077240745219,0.03773048688438198,0.79687723719,0.301662705837592,0.7901123351319429,False,False,False,False,pass,,pass
L3,L3,"actual GWT topology, all edges 0.90/0.10, binary noisy leaves",,,,Chicken,500,10.310699594910908,-10.166781674080461,8.701261682476808,0.994,0.9884212779677114,0.005230409822047759,0.983190868146,0.35871627073313284,0.9768536178640023,False,False,False,False,pass,,pass
L3,L3,"actual GWT topology, all edges 0.90/0.10, binary noisy leaves",,,,LLMs,500,11.21277845531693,-10.201520663205741,8.866519596505741,0.992,0.9754023912410941,0.003905693598338165,0.971496697643,0.35395854802873583,0.9596165011581229,False,False,False,False,pass,,pass
L4,L4,"actual GWT topology, targeted_strong_lower_override, binary noisy leaves",,,,Chicken,500,2.3635705652630037,-2.5278598156737857,0.7541326528289034,0.83,0.6311089340854282,0.07607284384093788,0.555036090244,0.23080038457447127,0.5656818600163076,False,False,False,False,pass,,pass
L4,L4,"actual GWT topology, targeted_strong_lower_override, binary noisy leaves",,,,LLMs,500,2.307568391773941,-2.8740806796117226,0.6981304793398408,0.824,0.6342591197125986,0.0766859931460828,0.557573126567,0.23332965862002042,0.5764287395117265,False,False,False,False,pass,,pass
L5,L5,"targeted_strong_lower_override, binary latent leaf plus ordinal probit, nuisance clamped to truth",,,,Chicken,500,2.349209461551226,-2.5300741400168363,0.7397715491171255,0.83,0.6306169243248158,0.0761053241245982,0.5545116002,0.23068811980819443,0.5663467193458218,False,False,False,False,pass,,pass
L5,L5,"targeted_strong_lower_override, binary latent leaf plus ordinal probit, nuisance clamped to truth",,,,LLMs,500,2.598251054411918,-2.514225731917122,0.9888131419778177,0.838,0.65417135504582,0.08326802630103404,0.570903328745,0.23628158789983222,0.5887625316628045,False,False,False,False,pass,,pass
L6,L6,"targeted_strong_lower_override, production three-state ordinal leaf, nuisance clamped to truth",,,,Chicken,500,2.4483699171413775,-2.956955401262178,0.8389320047072772,0.834,0.6489820488528529,0.07592154374119141,0.573060505112,0.23644719459846425,0.5826729190232838,False,False,False,False,pass,,pass
L6,L6,"targeted_strong_lower_override, production three-state ordinal leaf, nuisance clamped to truth",,,,LLMs,500,2.676442893714068,-2.9109758598004305,1.0670049812799676,0.862,0.6726787033272347,0.07193362743100841,0.600745075896,0.24629086171127346,0.6168366763709323,False,False,False,False,pass,,pass
