rung,rung_description,beta_profile,replicate_id,replicate_seed,system,system_raw,root_z_true,log_L0,log_L1,log_B_eff,rho,evidence_category,correct_sign,decisive_for_true_root,log_score_improvement,brier_improvement,n_top_children,n_top_present,log_B_top_latent,log_B_top_min,log_B_top_max,top_latent_category,n_observed_leaves,n_observed_ratings,n_raters
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,9,20260520,Chicken,Chicken,0,-82.88098761347626,-83.07416191430382,-0.19317430082755038,0.14153337929849188,ambiguous,True,False,0.029714076440066267,0.0077460803221270046,7,3,-3.5473798918402375,-6.400011321753554,5.293634418643655,strong_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,9,20260520,LLMs,2024 Leading Chat LLMs,1,-83.00504487698635,-82.91316671230008,0.09187816468626409,0.17982114006887723,ambiguous,True,False,0.07596688083848724,0.021751082166528102,7,6,2.808727768855654,-6.400011321753554,5.293634418643655,moderate_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,10,20260521,Chicken,Chicken,1,-105.22492863315571,-106.08507519617335,-0.8601465630176364,0.07801811910666179,ambiguous,False,False,-0.7590547138018304,-0.15560614425117314,7,6,4.600487238083709,-6.400011321753554,5.293634418643655,strong_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,10,20260521,LLMs,2024 Leading Chat LLMs,0,-103.1247177059572,-103.89568539664093,-0.770967690683733,0.08467912271721824,ambiguous,True,False,0.09384096716648443,0.02060722395362007,7,4,-1.062473242052237,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,11,20260522,Chicken,Chicken,0,-96.54872164081658,-97.50856763599595,-0.9598459951793643,0.0711416092838702,ambiguous,True,False,0.10852257305422774,0.02271664920627893,7,4,0.03613904661587264,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,11,20260522,LLMs,2024 Leading Chat LLMs,1,-97.62345037176678,-96.40309272697783,1.2203576447889475,0.40393872713621815,ambiguous,True,False,0.8852673912002818,0.33915540343645273,7,6,2.808727768855654,-6.400011321753554,5.293634418643655,moderate_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,12,20260523,Chicken,Chicken,1,-107.37860021313702,-106.19352245067459,1.1850777624624271,0.39547387674149526,ambiguous,True,False,0.8640889240496332,0.32899261074248765,7,6,4.600487238083709,-6.400011321753554,5.293634418643655,strong_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,12,20260523,LLMs,2024 Leading Chat LLMs,0,-107.70560916644673,-106.97727200853005,0.728337157916684,0.292949727467468,ambiguous,False,False,-0.16433195198431638,-0.058041765045486,7,4,-2.854232711280292,-6.400011321753554,5.293634418643655,moderate_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,13,20260524,Chicken,Chicken,0,-88.75131893666975,-89.50235682187629,-0.7510378852065429,0.08623669429477036,ambiguous,True,False,0.09213785041709621,0.020341010334888096,7,4,-2.854232711280292,-6.400011321753554,5.293634418643655,moderate_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,13,20260524,LLMs,2024 Leading Chat LLMs,1,-86.09075059176054,-86.58345074842126,-0.4927001566607174,0.10888918581727881,ambiguous,False,False,-0.42566508853602514,-0.09963403870894771,7,7,5.293634418643655,-6.400011321753554,5.293634418643655,strong_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,14,20260525,Chicken,Chicken,1,-94.86500483604644,-93.33252784694638,1.5324769891000614,0.4807692601761873,ambiguous,True,False,1.059391636681296,0.4248438832664606,7,6,4.888169310535492,-6.400011321753554,5.293634418643655,strong_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,14,20260525,LLMs,2024 Leading Chat LLMs,0,-97.60192996156833,-98.86485460656931,-1.2629246450009788,0.053536813400624064,ambiguous,True,False,0.1272983534621911,0.024911587388684535,7,3,-3.2219574914056093,-6.400011321753554,5.293634418643655,strong_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,15,20260526,Chicken,Chicken,0,-68.18252733437032,-68.71561339660896,-0.5330860622386382,0.10503189877501234,ambiguous,True,False,0.07135435436211496,0.016746078017493338,7,5,-0.3693260614922915,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,15,20260526,LLMs,2024 Leading Chat LLMs,1,-66.26657306608703,-64.36915870865573,1.8974143574313018,0.5715006611478616,moderate_present,True,True,1.2322698303442639,0.5108327610477248,7,7,5.293634418643655,-6.400011321753554,5.293634418643655,strong_present,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,16,20260527,Chicken,Chicken,1,-72.48567099668333,-73.19013789798781,-0.7044669013044853,0.08997789890038328,ambiguous,False,False,-0.6164317373540391,-0.13369578004531646,7,5,-0.3693260614922915,-6.400011321753554,5.293634418643655,ambiguous,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,16,20260527,LLMs,2024 Leading Chat LLMs,0,-74.45646796863007,-76.31284729946964,-1.856379330839573,0.03030064022431213,moderate_absent,True,True,0.15155236289284152,0.026859648979774574,7,3,-3.5473798918402375,-6.400011321753554,5.293634418643655,strong_absent,50,300,6
1P,"actual tree, production beta, binary noisy leaves, clamped beta",production_prior_mean,17,20260528,Chicken,Chicken,0,-86.43619212311911,-86.6118165139932,-0.17562439087409132,0.14367916707222014,ambiguous,True,False,0.027211388553950805,0.007134074727210827,7,2,-3.5473798918402357,-6.400011321753554,5.293634418643655,strong_absent,50,300,6
