beta_profile,evidence_stage,rung_label,system,root_z_true,n,median_log_B,mean_log_B,q05_log_B,q25_log_B,q75_log_B,q95_log_B,mean_rho,p_correct_sign,p_decisive,balanced_accuracy,balanced_log_score_improvement,evidence_margin_M,pass_fail_label,median_loss_top_to_subfeature,median_loss_subfeature_to_leaf_latent,median_loss_leaf_latent_to_binary_K6,median_loss_binary_perfect_to_binary_K6,median_loss_binary_K6_to_ordinal_binary,median_loss_ordinal_binary_to_three_state
extreme_0p9_0p1,top_observed,,Chicken,0,250,-15.380572041353538,-12.515391192507106,-15.380572041353538,-15.380572041353538,-10.986122886681098,-6.591673732008658,0.003294611392180418,0.996,0.996,0.998,0.9779780693745052,13.771134128919439,pass,1.45701923195272,0.1116620261893484,2.9510712357350144e-05,2.9510712357350144e-05,-2.9510531433629694e-05,-0.7080759901841418
extreme_0p9_0p1,top_observed,,Chicken,1,250,15.380572041353538,12.392346616176278,6.591673732008658,10.986122886681098,15.380572041353538,15.380572041353538,0.9890987513145432,1.0,1.0,0.998,0.9779780693745052,13.771134128919439,pass,-0.999665630528181,-0.11592437413280621,-2.318440788506848e-05,-2.318440788506848e-05,2.318440471071881e-05,0.7827378456433962
extreme_0p9_0p1,top_observed,,Chicken,ALL,500,2.197224577336219,-0.06152228816541421,-15.380572041353538,-15.380572041353538,15.380572041353538,15.380572041353538,0.49619668135336176,0.998,0.998,0.998,0.9779780693745052,13.771134128919439,pass,0.328396116819178,-0.00632174450705314,4.6561937594447045e-07,4.6561937594447045e-07,-4.86887703488037e-07,0.06003184092583069
extreme_0p9_0p1,top_observed,,LLMs,0,250,-10.986122886681098,-12.181413056752001,-15.380572041353538,-15.380572041353538,-10.986122886681098,-6.591673732008658,0.0005667809438686496,1.0,1.0,0.996,0.9683500605489251,9.651121819981098,pass,1.2712360180172242,0.10571928152391052,1.5701814557900207e-05,1.5701814557900207e-05,-1.5701812806412363e-05,-0.7297726907007416
extreme_0p9_0p1,top_observed,,LLMs,1,250,15.380572041353538,12.480235599269726,6.591673732008658,10.986122886681098,15.380572041353538,15.380572041353538,0.987013850992634,0.992,0.992,0.996,0.9683500605489251,9.651121819981098,pass,-1.4686188722098414,-0.11709842368507628,-3.5279891610784375e-05,-3.5279891610784375e-05,3.527687882609598e-05,0.7952830505359714
extreme_0p9_0p1,top_observed,,LLMs,ALL,500,-2.1972245773362187,0.14941127125886297,-15.380572041353538,-10.986122886681098,15.380572041353538,15.380572041353538,0.49379031596825135,0.996,0.996,0.996,0.9683500605489251,9.651121819981098,pass,0.2815573869180157,-0.008123644431648813,4.683568519681103e-07,4.683568519681103e-07,-4.5091709566236204e-07,0.2119212607441625
extreme_0p9_0p1,subfeature_observed,,Chicken,0,250,-10.7759537734128,-10.535675217927558,-14.579375427376096,-13.9119531691437,-8.086426624824693,-3.7463723892012983,0.003671999327697198,0.996,0.984,0.99,0.967700075922542,9.269151707313375,pass,1.45701923195272,0.1116620261893484,2.9510712357350144e-05,2.9510712357350144e-05,-2.9510531433629694e-05,-0.7080759901841418
extreme_0p9_0p1,subfeature_observed,,Chicken,1,250,10.878589619747475,10.570826378203899,3.2869826607223875,8.100115339213378,14.249590718880377,14.567408261461964,0.9746258720298902,1.0,0.98,0.99,0.967700075922542,9.269151707313375,pass,-0.999665630528181,-0.11592437413280621,-2.318440788506848e-05,-2.318440788506848e-05,2.318440471071881e-05,0.7827378456433962
extreme_0p9_0p1,subfeature_observed,,Chicken,ALL,500,0.905149694631018,0.017575580138171062,-14.567408261461967,-10.775619488082775,10.878255334417453,14.478076722361504,0.4891489356787937,0.998,0.982,0.99,0.967700075922542,9.269151707313375,pass,0.328396116819178,-0.00632174450705314,4.6561937594447045e-07,4.6561937594447045e-07,-4.86887703488037e-07,0.06003184092583069
extreme_0p9_0p1,subfeature_observed,,LLMs,0,250,-10.290269853417072,-10.338550308787937,-14.56874540278206,-13.809317322809019,-8.082766262686114,-3.9619617243588503,0.0018693675789522857,1.0,0.988,0.988,0.9586722499720468,8.955268786717072,pass,1.2712360180172242,0.10571928152391052,1.5701814557900207e-05,1.5701814557900207e-05,-1.5701812806412363e-05,-0.7297726907007416
