run_id,run_family,seed,system,root_z_true,top_feature_key,top_feature_name,support_label,demandingness_label,beta_pres_true,beta_abs_true,beta_gap_true,realised_z_top,n_descendant_subfeatures,n_descendant_indicators,n_observed_ratings_desc,c_top_latent,c_oracle_subtree,delta_oracle_minus_top_latent,abs_delta,subtree_message_loglik_z0,subtree_message_loglik_z1
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,full_exact_recovery,20260507,LLMs,0,Global Workspace Theory > Representationality,Representationality,weak support,strongly undemanding,0.9250177775636342,0.869159106691928,0.05585867087170626,1,4,8,30,0.06228675610397856,-0.05426855521384866,-0.11655531131782722,0.11655531131782722,-24.66249396355738,-25.39446058531465
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,full_exact_recovery,20260507,LLMs,0,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,weak support,moderately undemanding,0.8265237784608894,0.6298719913082595,0.19665178715262988,1,0,1,3,0.2717120765744194,0.1967288395765423,-0.07498323699787712,0.07498323699787712,-5.14211746048873,-3.607137527188761
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,full_exact_recovery,20260507,LLMs,0,Global Workspace Theory > Coherence,Coherence,strong support,strongly demanding,0.7979354739553153,0.10156225083779936,0.6963732231175159,0,4,13,48,-1.4920703384968867,1.4191158878654448,2.9111862263623314,2.9111862263623314,-77.45301368922023,-75.22442989455904
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,full_exact_recovery,20260507,LLMs,0,Global Workspace Theory > Modularity,Modularity,weak support,moderately demanding,0.560047800174686,0.2332959659893026,0.32675183418538345,1,0,6,24,0.8757142497507894,0.8738945991063147,-0.0018196506444746463,0.0018196506444746463,-43.88955778421225,-36.665303049588736
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,full_exact_recovery,20260507,LLMs,0,Global Workspace Theory > Complexity,Complexity,strong support,weakly undemanding,0.9205216626808573,0.3969036303573165,0.5236180323235409,1,5,8,30,0.8412470274704257,0.7810424512176937,-0.06020457625273201,0.06020457625273201,-43.99202639076652,-40.85613449696903
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,full_exact_recovery,20260507,LLMs,0,Global Workspace Theory > Selective Attention,Selective Attention,strong support,moderately demanding,0.8652906577456392,0.21587260411564355,0.6494180536299956,0,5,12,43,-1.761452064880101,-1.4307349981557707,0.33071706672433043,0.33071706672433043,-59.820144260826474,-62.55515812835591
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260507,full_exact_recovery,20260507,LLMs,0,Global Workspace Theory > Integration,Integration,strong support,moderately demanding,0.8652906577456392,0.21587260411564355,0.6494180536299956,0,0,2,8,-1.761452064880101,-0.9538769204806403,0.8075751443994608,0.8075751443994608,-15.673508437765374,-17.215309724599365
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,full_exact_recovery,20260508,Chicken,0,Global Workspace Theory > Representationality,Representationality,weak support,strongly undemanding,0.9250177775636342,0.869159106691928,0.05585867087170626,0,4,8,12,-0.5567309788738974,0.05894108971092393,0.6156720685848214,0.6156720685848214,-19.435172169557454,-16.407432855989974
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,full_exact_recovery,20260508,Chicken,0,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,weak support,moderately undemanding,0.8265237784608894,0.6298719913082595,0.19665178715262988,1,0,1,1,0.2717120765744194,0.18853726930926185,-0.08317480726515758,0.08317480726515758,-2.1228789727001147,-0.70089093027109
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,full_exact_recovery,20260508,Chicken,0,Global Workspace Theory > Coherence,Coherence,strong support,strongly demanding,0.7979354739553153,0.10156225083779936,0.6963732231175159,1,4,13,25,2.061355815243681,0.3993553270785881,-1.6620004881650927,1.6620004881650927,-41.979235978184875,-41.41435461702763
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,full_exact_recovery,20260508,Chicken,0,Global Workspace Theory > Modularity,Modularity,weak support,moderately demanding,0.560047800174686,0.2332959659893026,0.32675183418538345,0,0,6,12,-0.5554347678250722,-0.5551310982435105,0.0003036695815616941,0.0003036695815616941,-17.779522957811906,-25.847035370645198
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,full_exact_recovery,20260508,Chicken,0,Global Workspace Theory > Complexity,Complexity,strong support,weakly undemanding,0.9205216626808573,0.3969036303573165,0.5236180323235409,1,5,8,15,0.8412470274704257,0.6389058846779427,-0.20234114279248294,0.20234114279248294,-24.224832907280835,-22.383627847012804
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,full_exact_recovery,20260508,Chicken,0,Global Workspace Theory > Selective Attention,Selective Attention,strong support,moderately demanding,0.8652906577456392,0.21587260411564355,0.6494180536299956,0,5,12,24,-1.761452064880101,-1.2803357572485154,0.48111630763158564,0.48111630763158564,-39.51069735808767,-41.780242506213256
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,full_exact_recovery,20260508,Chicken,0,Global Workspace Theory > Integration,Integration,strong support,moderately demanding,0.8652906577456392,0.21587260411564355,0.6494180536299956,0,0,2,4,-1.761452064880101,-0.01849649449547286,1.7429555703846282,1.7429555703846282,-8.186933148323929,-8.215383020065135
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,full_exact_recovery,20260508,LLMs,0,Global Workspace Theory > Representationality,Representationality,weak support,strongly undemanding,0.9250177775636342,0.869159106691928,0.05585867087170626,1,4,8,30,0.06228675610397856,0.05594226845347805,-0.0063444876505005104,0.0063444876505005104,-40.787241408352095,-38.40445899744425
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,full_exact_recovery,20260508,LLMs,0,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,weak support,moderately undemanding,0.8265237784608894,0.6298719913082595,0.19665178715262988,1,0,1,3,0.2717120765744194,-0.13069380909379547,-0.4024058856682149,0.4024058856682149,-5.029563573493452,-5.62272852346713
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,full_exact_recovery,20260508,LLMs,0,Global Workspace Theory > Coherence,Coherence,strong support,strongly demanding,0.7979354739553153,0.10156225083779936,0.6963732231175159,0,4,13,48,-1.4920703384968867,-0.04247838794832859,1.4495919505485582,1.4495919505485582,-55.55788115439442,-55.61907803118947
full_exact_recovery:exact_latent_tree__full_exact_tree__three_state_binomial_2__exact_tree_production_medians__current_gwt_rater_design__seed20260508,full_exact_recovery,20260508,LLMs,0,Global Workspace Theory > Modularity,Modularity,weak support,moderately demanding,0.560047800174686,0.2332959659893026,0.32675183418538345,1,0,6,24,0.8757142497507894,0.8676624149272598,-0.008051834823529558,0.008051834823529558,-40.08596195034969,-34.354051741262836
