beta_profile,leaf_key,leaf_name,top_feature_key,top_feature_name,path_length,path_edge_gaps,min_path_gap,product_path_gap_heuristic,path_labels,n_sibling_leaves_under_top,p_leaf_present_R1,p_leaf_present_R0,binary_gap,kl_binary_R1_to_R0,kl_binary_R0_to_R1,sym_kl_binary,tv_binary,hellinger_binary,p_m0_R1,p_m1_R1,p_m2_R1,p_m0_R0,p_m1_R0,p_m2_R0,sym_kl_three_state,hellinger_three_state,sym_kl_ordinal_ref_rater,hellinger_ordinal_ref_rater
production_prior_mean,Global Workspace Theory > Representationality > Conceptual Representations > Activation Steering Effects,Activation Steering Effects,Global Workspace Theory > Representationality,Representationality,3,0.034188;0.428571;0.263736,0.03418803418803407,0.0038642676005313232,weak support / strongly undemanding > strong support / weakly demanding > moderate support / weakly demanding,8,0.6459364811013162,0.6420722135007849,0.003864267600531268,3.254037730779282e-05,3.2593075893883224e-05,3.256672660083802e-05,0.003864267600531268,0.0028533605809735844,0.12536097541491864,0.45740508696753035,0.417233937617551,0.1281123003482277,0.45963097230197475,0.4122567273497975,6.513345320167648e-05,0.004035253018507404,4.253621561677327e-05,0.003260984329947418
production_prior_mean,Global Workspace Theory > Representationality > Conceptual Representations > Probe-Detectable Themes,Probe-Detectable Themes,Global Workspace Theory > Representationality,Representationality,3,0.034188;0.428571;0.418301,0.03418803418803407,0.0061289473054178725,weak support / strongly undemanding > strong support / weakly demanding > moderate support / strongly demanding,8,0.4558643970408676,0.44973544973544977,0.006128947305417853,7.583399968925583e-05,7.577499395321988e-05,7.580449682123786e-05,0.006128947305417826,0.004353281772905405,0.2960835544076986,0.4961040971028677,0.2078123484894338,0.3027910752778477,0.494946949973405,0.20226197474874727,0.00015160899364247572,0.00615644095609328,0.00010084315762532076,0.005021014809995566
production_prior_mean,Global Workspace Theory > Representationality > Conceptual Representations > Concept-Specific Ablation Effects,Concept-Specific Ablation Effects,Global Workspace Theory > Representationality,Representationality,3,0.034188;0.428571;0.638889,0.03418803418803407,0.009361009361009327,weak support / strongly undemanding > strong support / weakly demanding > strong support / strongly demanding,8,0.6376678876678876,0.6283068783068784,0.009361009361009254,0.00018826977977813401,0.00018894362749009332,0.00018860670363411366,0.009361009361009254,0.006866672593205322,0.1312845596270505,0.4620951054101238,0.40662033496282574,0.13815577671397772,0.4670746899582878,0.39476953332773446,0.00037721340726822646,0.009710827038393778,0.0002469795080134976,0.007857716333639832
production_prior_mean,Global Workspace Theory > Representationality > Propositional Representations > Logical Inference,Logical Inference,Global Workspace Theory > Representationality,Representationality,3,0.034188;0.55;0.55,0.03418803418803407,0.010341880341880307,weak support / strongly undemanding > strong support / moderately demanding > strong support / moderately demanding,8,0.6667307692307692,0.6563888888888889,0.010341880341880327,0.00023826572159242783,0.00023945418372164733,0.00023885995265703758,0.010341880341880327,0.0077274909673632555,0.11106838017751479,0.444401701183432,0.4445299186390533,0.11806859567901233,0.45108503086419754,0.43084637345679017,0.0004777199053140743,0.010928159384161373,0.00031054608930865864,0.008811050578376795
production_prior_mean,Global Workspace Theory > Representationality > World Modelling > Model Isomorphism,Model Isomorphism,Global Workspace Theory > Representationality,Representationality,3,0.034188;0.638889;0.428571,0.03418803418803407,0.009361009361009327,weak support / strongly undemanding > strong support / strongly demanding > strong support / weakly demanding,8,0.7289377289377289,0.7195767195767195,0.009361009361009365,0.00021863801736100516,0.000220175765600749,0.00021940689148087708,0.009361009361009365,0.00740612693704356,0.07347475479343613,0.39517503253766995,0.5313502126688939,0.07863721620335379,0.40357212843985335,0.5177906553567929,0.00043881378296175243,0.010473701533561919,0.00027899911656454127,0.008351529539384533
production_prior_mean,Global Workspace Theory > Representationality > World Modelling > Broad Predictive Training,Broad Predictive Training,Global Workspace Theory > Representationality,Representationality,3,0.034188;0.638889;0.0625,0.03418803418803407,0.0013651471984805269,weak support / strongly undemanding > strong support / strongly demanding > weak support / moderately undemanding,8,0.7938034188034188,0.7924382716049383,0.0013651471984804653,5.674413115438993e-06,5.683646368270356e-06,5.679029741854674e-06,0.0013651471984804653,0.001191535310357732,0.04251703009715832,0.32735910219884584,0.6301238677039959,0.043081871094345366,0.3289597146014327,0.627958414304222,1.1358059483709349e-05,0.0016850847978514862,6.942565254746888e-06,0.001317436889352759
production_prior_mean,Global Workspace Theory > Representationality > Isomorphic Representations > Somatotopic Neural Maps,Somatotopic Neural Maps,Global Workspace Theory > Representationality,Representationality,3,0.034188;0.263736;0.228571,0.03418803418803407,0.002060942720283373,weak support / strongly undemanding > moderate support / weakly demanding > moderate support / weakly undemanding,8,0.7250332085496921,0.7229722658294087,0.002060942720283454,1.0619982983753763e-05,1.0636352808520311e-05,1.0628167896137037e-05,0.002060942720283454,0.0016300428262822355,0.07560673640047712,0.3987201100996616,0.5256731534998613,0.07674436549969182,0.40056673734179904,0.5226888971585091,2.1256335792274074e-05,0.0023052271409058065,1.3516593033995592e-05,0.0018382448674183769
production_prior_mean,Global Workspace Theory > Representationality > Isomorphic Representations > Has Retinotopic Neural Maps,Has Retinotopic Neural Maps,Global Workspace Theory > Representationality,Representationality,3,0.034188;0.263736;0.342857,0.03418803418803407,0.0030914140804250588,weak support / strongly undemanding > moderate support / weakly demanding > strong support / weakly undemanding,8,0.8018355271102523,0.7987441130298273,0.0030914140804250145,2.9840235396534024e-05,2.9956009782883958e-05,2.989812258970899e-05,0.0030914140804250145,0.002733953240508723,0.03926915831567155,0.3177906291481523,0.6429402125361762,0.04050393204015094,0.32150390986004357,0.6379921580998055,5.979624517941798e-05,0.0038663865267742517,3.635138564492659e-05,0.003014599142285064
production_prior_mean,Global Workspace Theory > Hierarchical Organization > Concrete-Abstract Separation,Concrete-Abstract Separation,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,2,0.0625;0.388889,0.0625,0.02430555555555556,weak support / moderately undemanding > strong support / neutral,1,0.8159722222222223,0.7916666666666667,0.02430555555555558,0.0018457730558156561,0.001904392697718655,0.0018750828767671555,0.02430555555555558,0.021648283545697748,0.033866222993827126,0.3003231095679011,0.6658106674382718,0.04340277777777775,0.32986111111111105,0.6267361111111113,0.003750165753534311,0.03061170903155843,0.002272741104246386,0.023833430283972716
production_prior_mean,Global Workspace Theory > Coherence > Autonomous Subparts > Functional Subparts,Functional Subparts,Global Workspace Theory > Coherence,Coherence,3,0.638889;-0.0714286;0.25,0.07142857142857145,-0.011408730158730162,strong support / strongly demanding > weak undermining / neutral > moderate support / neutral,13,0.6116071428571428,0.623015873015873,-0.01140873015873023,0.00027601895743989066,0.00027497829018273585,0.00027549862381131326,0.01140873015873023,0.008299016872026534,0.1508490114795919,0.4750876913265306,0.3740632971938775,0.14211703199798437,0.4697341899722852,0.3881487780297304,0.0005509972476226239,0.011736380127638276,0.0003619566024809411,0.00951244794692901
