dgp,fit,leaf,nuisance_truth,design,estimand,parameter,kind,support,demandingness,truth,posterior_mean,posterior_median,posterior_p03,posterior_p97,signed_error,abs_error,squared_error,interval_includes_truth
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__moderately_demanding,beta_abs,moderate support,moderately demanding,0.32484646175833376,0.13741244959532542,0.13639280128408623,0.07151739407744172,0.21466768638507655,-0.18845366047424753,0.18845366047424753,0.03551478214614296,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__moderately_undemanding,beta_abs,moderate support,moderately undemanding,0.6389513159466798,0.1348791175337996,0.13213344983156539,0.07291606265899413,0.21466488075766282,-0.5068178661151144,0.5068178661151144,0.25686434941347797,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__neutral,beta_abs,moderate support,neutral,0.4019584778791272,0.1339084307937573,0.13034027803871845,0.07533372310683167,0.20943495401542309,-0.27161819984040875,0.27161819984040875,0.07377644648454422,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__strongly_demanding,beta_abs,moderate support,strongly demanding,0.12155430769091663,0.10088141256242594,0.09831655981684143,0.059156023097392,0.1577548967210317,-0.023237747874075204,0.023237747874075204,0.0005399929262590867,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__weakly_demanding,beta_abs,moderate support,weakly demanding,0.2863762716993723,0.1118133281406765,0.10884412267839703,0.06697376966918551,0.17107097811155006,-0.17753214902097525,0.17753214902097525,0.03151766393600576,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__weakly_undemanding,beta_abs,moderate support,weakly undemanding,0.3912527556246291,0.13399528772913155,0.13035854169940952,0.0800905187134892,0.20798462804581366,-0.26089421392521955,0.26089421392521955,0.06806579085965822,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__moderately_demanding,beta_abs,strong support,moderately demanding,0.21587260411564355,0.1251193965096303,0.1224569252869962,0.07492362161347443,0.1893119866275606,-0.09341567882864735,0.09341567882864735,0.008726489051016991,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__moderately_undemanding,beta_abs,strong support,moderately undemanding,0.5886514926336597,0.14505933362563642,0.14065808953504372,0.08296971017540321,0.22569168757806,-0.44799340309861596,0.44799340309861596,0.200698089219879,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__neutral,beta_abs,strong support,neutral,0.3996914320701517,0.12301237178782932,0.12004454100276335,0.07491609060963092,0.1904018501465633,-0.2796468910673883,0.2796468910673883,0.07820238368365576,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__strongly_demanding,beta_abs,strong support,strongly demanding,0.10156225083779936,0.1042276337283665,0.1016132544947325,0.06125080793491012,0.1610781307049051,5.1003656933140684e-05,5.1003656933140684e-05,2.60137302055351e-09,True
