prob_bin,n,mean_posterior_p,empirical_z_rate,mean_brier,mean_neg_log_score
"[0.0, 0.1)",30,0.01802325240211116,0.13333333333333333,0.12128215887173675,0.4624857876754213
"[0.1, 0.2)",4,0.15891204885605176,0.5,0.35707711797931185,0.9713526687407653
"[0.2, 0.3)",5,0.23093583130422787,0.2,0.17419562713563244,0.5403567917251801
"[0.4, 0.5)",6,0.47067884008799815,0.8333333333333334,0.2774885638453049,0.7482441199306091
"[0.5, 0.6)",2,0.573378896304852,0.5,0.28034604740002034,0.7551549433145088
"[0.6, 0.7)",14,0.6488758898232749,0.8571428571428571,0.1722421505815215,0.5338880627953192
"[0.7, 0.8)",35,0.7541928653572677,0.9428571428571428,0.08922014733267421,0.3444598889765043
"[0.8, 0.9)",1,0.8194905291527108,1.0,0.032583669065568345,0.19907243772566724
"[0.9, 1.0)",3,0.9450167559107285,1.0,0.00303859707375839,0.0565612690136128
