dgp,fit,leaf,nuisance_truth,design,estimand,system,node_key,node_name,node_type,top_feature,depth,fanout,subtree_indicator_count,subtree_rating_count,z_true,prior_p_z1,posterior_p_z1,prior_entropy,posterior_entropy,entropy_reduction,relative_entropy_reduction,brier,log_score,neg_log_score
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Complexity > Informational Complexity > Efficient Network Topology,Efficient Network Topology,feature,Complexity,3,0,0,0,1,0.7257576726295476,0.8639428877555311,0.5874328485943858,0.3977409242475438,0.189691924346842,0.3229167807022342,0.018511537792304016,-0.14624861449772583,0.14624861449772583
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Complexity > Structural Complexity,Structural Complexity,feature,Complexity,2,4,4,4,1,0.7422242544515112,0.6188728478753628,0.5707175361844001,0.6646132266676315,-0.09389569048323132,-0.16452217520944268,0.14525790608663636,-0.4798554427853073,0.4798554427853073
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Selective Attention,Selective Attention,feature,Selective Attention,1,5,12,12,1,0.8646412396920092,0.971342902917953,0.3964479907406842,0.13004266068992357,0.2664053300507606,0.6719805277686872,0.0008212292131698667,-0.029075728934753266,0.029075728934753266
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Non-Linear Capabilities,Non-Linear Capabilities,feature,Selective Attention,2,2,2,2,1,0.7954011205687049,0.9969936923513617,0.506712106645426,0.020459540899282695,0.4862525657461433,0.9596229483547758,9.037885678261118e-06,-0.0030108356688357874,0.0030108356688357874
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Adaptive Focus,Adaptive Focus,feature,Selective Attention,2,3,3,3,1,0.7773862350846548,0.9680337222966771,0.5301962659386177,0.14151207520469045,0.38868419073392724,0.7330949229637281,0.0010218429102059616,-0.03248835522901306,0.03248835522901306
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Attention-Constrained Architecture,Attention-Constrained Architecture,feature,Selective Attention,2,2,2,2,1,0.6881837127022514,0.9449652917840432,0.6205462078953299,0.21308089074663566,0.4074653171486942,0.6566236518158259,0.0030288191084155026,-0.05660708043374751,0.05660708043374751
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Performance Sensitivity,Performance Sensitivity,feature,Selective Attention,2,3,3,3,0,0.6881837127022514,0.7594203031486665,0.6205462078953299,0.5517472120908284,0.06879899580450144,0.11086844932602674,0.5767191968344125,-1.4247038644912686,1.4247038644912686
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Capability Attention Modulation,Capability Attention Modulation,feature,Selective Attention,2,2,2,2,1,0.7866926312863065,0.10443831038905745,0.5183058457468325,0.33472690900631663,0.18357893674051584,0.354190365103822,0.8020307398988061,-2.2591587130965345,2.2591587130965345
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Integration,Integration,feature,Integration,1,2,2,2,1,0.8646412396920092,0.9691118307428576,0.3964479907406842,0.13781610587397178,0.2586318848667124,0.6523727977117759,0.0009540790000578793,-0.031375265347046495,0.031375265347046495
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Representationality,Representationality,feature,Representationality,1,4,8,12,1,0.8831237744098546,0.5685127159898404,0.3606545355040938,0.6837295950845906,-0.3230750595804968,-0.8958020148808847,0.1861812762624641,-0.5647315984254436,0.5647315984254436
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Representationality > Conceptual Representations,Conceptual Representations,feature,Representationality,2,3,3,3,1,0.7964561712737757,0.5361200929471303,0.5052761395117473,0.6905355840592782,-0.18525944454753085,-0.36664989707716783,0.21518456816737908,-0.6233970890018452,0.6233970890018452
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Representationality > Propositional Representations,Propositional Representations,feature,Representationality,2,1,1,2,1,0.7893891268072667,0.7672274890552079,0.5147649081631664,0.5426047563704591,-0.027839848207292683,-0.05408264581716244,0.054183041851543365,-0.26497192569086975,0.26497192569086975
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Representationality > World Modelling,World Modelling,feature,Representationality,2,2,2,3,1,0.7165460000352958,0.8950581128573144,0.5961859730132227,0.3358076684754202,0.26037830453780253,0.4367400715951223,0.01101279967706816,-0.11086663224834796,0.11086663224834796
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Representationality > Isomorphic Representations,Isomorphic Representations,feature,Representationality,2,2,2,4,1,0.6967727316355488,0.46741289533594366,0.6135740118482581,0.6910218356549604,-0.07744782380670234,-0.12622409409650132,0.28364902405444253,-0.7605422677501673,0.7605422677501673
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,feature,Hierarchical Organization,1,1,1,1,1,0.679034938096417,0.6076767649195308,0.6275947551215355,0.6697759624744539,-0.042181207352918415,-0.06721089844791629,0.15391752078400509,-0.49811217503034677,0.49811217503034677
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Coherence,Coherence,feature,Coherence,1,4,13,25,0,0.27565555661717833,0.11541345065267306,0.5888031970807525,0.3576858898168799,0.23111730726387258,0.39252046933463847,0.013320264591556998,-0.12263491901358446,0.12263491901358446
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Coherence > Autonomous Subparts,Autonomous Subparts,feature,Coherence,2,5,5,9,1,0.4787707546538875,0.9999780406221627,0.6922455478308942,0.0002575023685778214,0.6919880454623164,0.9996280187436601,4.822142750027437e-10,-2.1959618948000086e-05,2.1959618948000086e-05
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Coherence > Point of View,Point of View,feature,Coherence,2,2,2,4,0,0.4558041115867013,0.0029158798912546453,0.6892355244371345,0.01993331736930648,0.6693022070678281,0.9710790917435879,8.502355540223203e-06,-0.002920139351088703,0.002920139351088703
