system,node_key,indicator,top_feature,depth,n_ratings,chi2,kl,cov94,obs_p0,obs_p1,obs_p2,obs_p3,obs_p4,obs_p5,obs_p6,pred_p0,pred_p1,pred_p2,pred_p3,pred_p4,pred_p5,pred_p6
2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Structural Complexity > Number of Layers,Number of Layers,Complexity,3,4,19.912995809023066,1.7881277077346358,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4630830160632921,0.07458880492768369,0.04778509369335122,0.06908786754636907,0.08702702885917121,0.09115512818845256,0.16727306072168022
2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Structural Complexity > Number of Nodes,Number of Nodes,Complexity,3,4,56.0135242348083,2.7082755796160365,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.47433026305153747,0.07428229017643434,0.04673389535085119,0.06665164312546686,0.08411971315073569,0.08915281995057604,0.16472937519439845
2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Informational Complexity > Optimized Componentry,Optimized Componentry,Complexity,3,4,4.474647654566496,0.7507847165999529,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471996024264753,0.07399548743168397,0.04656607878057101,0.06653523159662786,0.08434494443994167,0.0898923652114985,0.166669868274924
2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Functional Diversity > Variability of Responses to Stimuli,Variability of Responses to Stimuli,Complexity,3,3,6.767129874002623,1.138308004031264,True,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.47542643505761445,0.07459449614425175,0.04692122569553469,0.06686212150490257,0.0839817263800527,0.08865103987559066,0.1635629553420531
2024 Leading Chat LLMs,Global Workspace Theory > Hierarchical Organization > Concrete-Abstract Separation,Concrete-Abstract Separation,Hierarchical Organization,2,3,20.82788516718267,1.993145328052897,False,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.49411966760936943,0.07707233231988073,0.04807871781914354,0.06736610494342854,0.0814403165623531,0.08259947735476775,0.1493233833910569
2024 Leading Chat LLMs,Global Workspace Theory > Integration > Holistic Dependency,Holistic Dependency,Integration,2,4,2.780315977032749,0.4149455328066957,True,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.4956372968758831,0.07686996670311623,0.04779883020764827,0.06680048865217161,0.08087160252381356,0.08244585577235503,0.1495759592650122
2024 Leading Chat LLMs,Global Workspace Theory > Integration > Wiring Convergence,Wiring Convergence,Integration,2,4,19.624550530600967,1.7109775486514265,False,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.4971670349114336,0.07609902119091033,0.04697432105254734,0.06542733666130324,0.07999327477827381,0.08282636431926564,0.15151264708626597
2024 Leading Chat LLMs,Global Workspace Theory > Modularity > Cross-Modal Learning Deficits,Cross-Modal Learning Deficits,Modularity,2,4,11.167606991357239,1.310711689205584,True,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.4908273093933216,0.07691710727063192,0.04821891092655405,0.0677645973161478,0.082144296937371,0.08336972941752971,0.1507580487384438
2024 Leading Chat LLMs,Global Workspace Theory > Modularity > Dedicated Action Systems,Dedicated Action Systems,Modularity,2,4,4.124762424207942,0.7086221265709265,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4923220878535347,0.0765409873041646,0.04770754265770836,0.06688436569627915,0.08142363281492776,0.08342355856107864,0.1516978251123068
2024 Leading Chat LLMs,Global Workspace Theory > Modularity > Dedicated Sensory Systems,Dedicated Sensory Systems,Modularity,2,4,4.149505790425821,0.7116629250826937,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4908273093933216,0.07691710727063192,0.04821891092655405,0.0677645973161478,0.082144296937371,0.08336972941752971,0.1507580487384438
