dgp,fit,leaf,nuisance_truth,design,estimand,system,node_key,node_name,node_type,top_feature,depth,fanout,subtree_indicator_count,subtree_rating_count,z_true,prior_p_z1,posterior_p_z1,prior_entropy,posterior_entropy,entropy_reduction,relative_entropy_reduction,brier,log_score,neg_log_score
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Complexity > Informational Complexity > Efficient Network Topology,Efficient Network Topology,feature,Complexity,3,0,0,0,1,0.7257576726295476,0.8589837854243213,0.5874328485943858,0.4068039292537221,0.18062891934066372,0.3074886257601598,0.019885572773253857,-0.15200523328276486,0.15200523328276486
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Complexity > Structural Complexity,Structural Complexity,feature,Complexity,2,4,4,4,1,0.7422242544515112,0.7841775341669485,0.5707175361844001,0.5215695131595284,0.049148023024871756,0.0861161956814166,0.0465793367582587,-0.2431198376253841,0.2431198376253841
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Selective Attention,Selective Attention,feature,Selective Attention,1,5,12,12,1,0.8646412396920092,0.9754458629900497,0.3964479907406842,0.11526930093263597,0.2811786898080482,0.7092448350733769,0.0006029056443034135,-0.02486061713754424,0.02486061713754424
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Non-Linear Capabilities,Non-Linear Capabilities,feature,Selective Attention,2,2,2,2,1,0.7954011205687049,0.9904972385778642,0.506712106645426,0.0537039661823514,0.4530081404630746,0.8940148350946527,9.030247464603236e-05,-0.00954820075467237,0.00954820075467237
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Adaptive Focus,Adaptive Focus,feature,Selective Attention,2,3,3,3,1,0.7773862350846548,0.9617364931846845,0.5301962659386177,0.16238565913241326,0.3678106068062044,0.693725381402039,0.0014640959538056988,-0.039014781446598965,0.039014781446598965
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Attention-Constrained Architecture,Attention-Constrained Architecture,feature,Selective Attention,2,2,2,2,1,0.6881837127022514,0.9334975192215638,0.6205462078953299,0.24449651403875267,0.3760496938565772,0.6059978919732713,0.004422579949686281,-0.06881697350623289,0.06881697350623289
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Performance Sensitivity,Performance Sensitivity,feature,Selective Attention,2,3,3,3,0,0.6881837127022514,0.8286275829366823,0.6205462078953299,0.4580556947162686,0.16249051317906127,0.2618507874380069,0.6866236712034882,-1.7639162130538366,1.7639162130538366
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Capability Attention Modulation,Capability Attention Modulation,feature,Selective Attention,2,2,2,2,1,0.7866926312863065,0.3527538261318589,0.5183058457468325,0.6491347182685454,-0.13082887252171294,-0.25241635531468914,0.4189276095869479,-1.041984841725872,1.041984841725872
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Human,Global Workspace Theory > Integration,Integration,feature,Integration,1,2,2,2,1,0.8646412396920092,0.955165569938668,0.3964479907406842,0.1830149932131572,0.213432997527527,0.5383631712416297,0.0020101261189244732,-0.04587058186501017,0.04587058186501017
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Representationality,Representationality,feature,Representationality,1,4,8,12,1,0.8831237744098546,0.5160295824816619,0.3606545355040938,0.6926331974652953,-0.33197866196120146,-0.9204893583195577,0.23422736503287453,-0.6615911847530808,0.6615911847530808
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Representationality > Conceptual Representations,Conceptual Representations,feature,Representationality,2,3,3,3,1,0.7964561712737757,0.48282421165641815,0.5052761395117473,0.6925570490552967,-0.18728090954354937,-0.37065061042565856,0.2674707960488054,-0.7281026425977202,0.7281026425977202
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Representationality > Propositional Representations,Propositional Representations,feature,Representationality,2,1,1,2,1,0.7893891268072667,0.696694111019651,0.5147649081631664,0.6136394077420679,-0.09887449957890149,-0.1920770006092975,0.09199446229015983,-0.3614088296591943,0.3614088296591943
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Representationality > World Modelling,World Modelling,feature,Representationality,2,2,2,3,1,0.7165460000352958,0.7912444443498918,0.5961859730132227,0.512303200484739,0.08388277252848375,0.14069900387713974,0.04357888201478541,-0.23414832690714746,0.23414832690714746
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Representationality > Isomorphic Representations,Isomorphic Representations,feature,Representationality,2,2,2,4,1,0.6967727316355488,0.4699150504115357,0.6135740118482581,0.6913358783067819,-0.07776186645852379,-0.12673591931360179,0.28099005378020475,-0.7552033444194061,0.7552033444194061
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,feature,Hierarchical Organization,1,1,1,1,1,0.679034938096417,0.41734448024559506,0.6275947551215355,0.6794203864728243,-0.051825631351288814,-0.08257817792191816,0.3394874547002758,-0.8738433064932424,0.8738433064932424
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Coherence,Coherence,feature,Coherence,1,4,13,25,0,0.27565555661717833,0.10611352009628905,0.5888031970807525,0.33831175914722766,0.2504914379335248,0.4254247245521846,0.01126007914722554,-0.11217649184473996,0.11217649184473996
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Coherence > Autonomous Subparts,Autonomous Subparts,feature,Coherence,2,5,5,9,1,0.4787707546538875,0.9997162740073069,0.6922455478308942,0.0026010182379481166,0.6896445295929461,0.9962426363793914,8.050043892968891e-08,-0.0002837662505275478,0.0002837662505275478
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Coherence > Point of View,Point of View,feature,Coherence,2,2,2,4,0,0.4558041115867013,0.011819280001089715,0.6892355244371345,0.06420339413519978,0.6250321303019347,0.906848396725297,0.00013969537974415928,-0.011889682982520064,0.011889682982520064
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Coherence > Common Representational Scheme,Common Representational Scheme,feature,Coherence,2,3,3,6,0,0.4144761687642246,0.07954941685665794,0.6784463485349768,0.27766750974617926,0.4007788387887975,0.5907303350577848,0.006328109722234334,-0.08289196454819235,0.08289196454819235
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Coherence > Social Coherence,Social Coherence,feature,Coherence,2,3,3,6,0,0.5117003969002362,0.29502569311136445,0.6928733569906709,0.606590480707552,0.08628287628311893,0.1245290721783096,0.087040159595841,-0.34959392096356673,0.34959392096356673
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Modularity,Modularity,feature,Modularity,1,6,6,12,0,0.3149839245356485,0.00021091558144772544,0.6230305047802276,0.0019960939111374927,0.6210344108690901,0.9967961538065594,4.44853824974321e-08,-0.00021093782726699847,0.00021093782726699847
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,internal_z_probability,Chicken,Global Workspace Theory > Complexity,Complexity,feature,Complexity,1,3,8,15,0,0.5278081384382017,0.035698927469610287,0.6915997971365085,0.15402548197699278,0.5375743151595158,0.7772910249327458,0.001274413422480496,-0.03635171722915691,0.03635171722915691
