dgp,fit,leaf,nuisance_truth,design,estimand,node_key,node_name,node_type,top_feature,depth,kind,support,demandingness,truth,posterior_mean,posterior_median,posterior_p03,posterior_p97,signed_error,abs_error,squared_error,interval_includes_truth
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,edge_beta,Global Workspace Theory > Representationality > Propositional Representations > Logical Inference,Logical Inference,indicator,Representationality,3,beta_abs,strong support,moderately demanding,0.21587260411564355,0.11988304131369154,0.11738831006063179,0.07214190740291482,0.1805870507793005,-0.09848429405501176,0.09848429405501176,0.009699156175514024,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,edge_beta,Global Workspace Theory > Representationality > World Modelling,World Modelling,feature,Representationality,2,beta_pres,strong support,strongly demanding,0.7979354739553153,0.885374019901971,0.8887289327968996,0.8196951745407782,0.9349753710634169,0.0907934588415843,0.0907934588415843,0.008243452168418462,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,edge_beta,Global Workspace Theory > Representationality > World Modelling,World Modelling,feature,Representationality,2,beta_abs,strong support,strongly demanding,0.10156225083779936,0.112684676810663,0.10944321430750095,0.06507129048976293,0.1762764344974869,0.007880963469701588,0.007880963469701588,6.210958521077089e-05,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,edge_beta,Global Workspace Theory > Representationality > World Modelling > Model Isomorphism,Model Isomorphism,indicator,Representationality,3,beta_pres,strong support,weakly demanding,0.8581969292138683,0.8889794104230349,0.8930053168574399,0.8224214342569034,0.9369079483194549,0.03480838764357164,0.03480838764357164,0.0012116238503451506,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,edge_beta,Global Workspace Theory > Representationality > World Modelling > Model Isomorphism,Model Isomorphism,indicator,Representationality,3,beta_abs,strong support,weakly demanding,0.32993929915827946,0.10747047891020135,0.10423578235107371,0.06273860643359264,0.16741422433473896,-0.22570351680720574,0.22570351680720574,0.050942077499140606,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,edge_beta,Global Workspace Theory > Representationality > World Modelling > Broad Predictive Training,Broad Predictive Training,indicator,Representationality,3,beta_pres,weak support,moderately undemanding,0.8265237784608894,0.8983293184984962,0.9014935159007333,0.8385204299894905,0.9406025335059173,0.07496973743984392,0.07496973743984392,0.005620461531799135,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,edge_beta,Global Workspace Theory > Representationality > World Modelling > Broad Predictive Training,Broad Predictive Training,indicator,Representationality,3,beta_abs,weak support,moderately undemanding,0.6298719913082595,0.10703196200855282,0.10364582952918058,0.061062366412153166,0.17071961327753749,-0.526226161779079,0.526226161779079,0.2769139733407414,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,edge_beta,Global Workspace Theory > Representationality > Isomorphic Representations,Isomorphic Representations,feature,Representationality,2,beta_pres,moderate support,weakly demanding,0.7510862838496203,0.8920144302073841,0.8951435374108342,0.8285187952940283,0.938585462462816,0.1440572535612139,0.1440572535612139,0.020752492303599875,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,edge_beta,Global Workspace Theory > Representationality > Isomorphic Representations,Isomorphic Representations,feature,Representationality,2,beta_abs,moderate support,weakly demanding,0.2863762716993723,0.103337030115548,0.09975719480488475,0.06076275480120478,0.16318807354519535,-0.18661907689448753,0.18661907689448753,0.03482667986095065,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,edge_beta,Global Workspace Theory > Representationality > Isomorphic Representations > Somatotopic Neural Maps,Somatotopic Neural Maps,indicator,Representationality,3,beta_pres,moderate support,weakly undemanding,0.8586701611233953,0.9048788102976821,0.9076004408912142,0.8530304762267958,0.9434689369099888,0.04893027976781883,0.04893027976781883,0.002394172278157021,True
