system,node_key,indicator,top_feature,depth,n_ratings,chi2,kl,cov94,obs_p0,obs_p1,obs_p2,obs_p3,obs_p4,obs_p5,obs_p6,pred_p0,pred_p1,pred_p2,pred_p3,pred_p4,pred_p5,pred_p6
ELIZA,Global Workspace Theory > Representationality > Conceptual Representations > Activation Steering Effects,Activation Steering Effects,Representationality,3,1,5.246184564333774,1.8319708076292125,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2963890090902259,0.08793952735357101,0.1013923968676165,0.1600977348172006,0.1323129233694549,0.1225438440311446,0.09932456447078652
ELIZA,Global Workspace Theory > Representationality > World Modelling > Broad Predictive Training,Broad Predictive Training,Representationality,3,1,2.449249424307863,1.2381566492024225,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28991814652564973,0.08725647328679485,0.10100405428326761,0.16052794581283927,0.13364094581382874,0.12485846698601182,0.102793967291608
ELIZA,Global Workspace Theory > Representationality > Conceptual Representations > Concept-Specific Ablation Effects,Concept-Specific Ablation Effects,Representationality,3,1,8.763212805943496,2.2786215271936774,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29071860290351526,0.0873308822276262,0.10104982424612464,0.16045754832571774,0.1334202365673811,0.12459760579238115,0.10242529993725381
ELIZA,Global Workspace Theory > Representationality > Isomorphic Representations > Has Retinotopic Neural Maps,Has Retinotopic Neural Maps,Representationality,3,1,6.578929457102148,2.0253719571077458,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2979711425013338,0.08813902297332053,0.10149042220501886,0.15998668922059744,0.1319447562693579,0.1219448078597732,0.09852315897059814
ELIZA,Global Workspace Theory > Representationality > Propositional Representations > Logical Inference,Logical Inference,Representationality,3,1,6.394612956064399,2.0007517561945924,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.28185018289433433,0.08616828302609372,0.10038875566595333,0.1607424403039753,0.13523358233102512,0.12803000713185148,0.10758674864676675
ELIZA,Global Workspace Theory > Representationality > World Modelling > Model Isomorphism,Model Isomorphism,Representationality,3,1,7.027190559883846,2.0828345987310954,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2907519173562375,0.08731552303777884,0.1010453325052103,0.16045674077992886,0.1334125182422541,0.12457658660771473,0.10244138147087566
ELIZA,Global Workspace Theory > Representationality > Conceptual Representations > Probe-Detectable Themes,Probe-Detectable Themes,Representationality,3,1,5.241840277779494,1.8312750552128858,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29583231888290096,0.08792619784712956,0.10143014797428533,0.1602091619614056,0.1324269287242579,0.12271489546714054,0.0994603491428801
ELIZA,Global Workspace Theory > Representationality > Isomorphic Representations > Somatotopic Neural Maps,Somatotopic Neural Maps,Representationality,3,1,6.539721073963625,2.020185188492592,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29471805766433656,0.0877581849435971,0.101329011072707,0.1602250764879578,0.1326309010890639,0.12314007209471103,0.10019869664762644
ELIZA,Global Workspace Theory > Selective Attention > Capability Attention Modulation > Adaptive Learning,Adaptive Learning,Selective Attention,3,1,5.2270304072374465,1.8288995590062946,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2882109003603027,0.08707476672951046,0.10091382165040656,0.1605901906047764,0.1339846798766163,0.12562461080316037,0.10360102997522719
ELIZA,Global Workspace Theory > Selective Attention > Performance Sensitivity > Coupling,Coupling,Selective Attention,3,1,5.232095039146096,1.8297125586360694,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29107873010861923,0.08739095608176821,0.10115845060546526,0.16045968389741005,0.13338755498021576,0.1245004847796198,0.1020241395469018
ELIZA,Global Workspace Theory > Selective Attention > Capability Attention Modulation > Feature Binding,Feature Binding,Selective Attention,3,1,6.39937138981473,2.0013950492795622,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2827725162483179,0.08645646772490562,0.10063143523218791,0.16096703768393747,0.1351466154782425,0.1274340522786675,0.10659187535374112
ELIZA,Global Workspace Theory > Selective Attention > Adaptive Focus > Goal Focus Shifts,Goal Focus Shifts,Selective Attention,3,1,2.465599741155646,1.2428857031349096,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2885503447280781,0.08703099112167899,0.10088230680620387,0.1604484136150864,0.13388602564259475,0.125518140465077,0.1036837776212809
ELIZA,Global Workspace Theory > Selective Attention > Adaptive Focus > Inattentional Blindness,Inattentional Blindness,Selective Attention,3,1,2.4728887821901697,1.2449867496932174,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28794472346141536,0.08691778197633918,0.10081842097060882,0.16041858743893672,0.1339902311597497,0.12578943115319433,0.10412082383975602
