alternative,replicate,C_true,J,K,C_post_mean,C_post_median,C_post_sd,C_central_80_low,C_central_80_high,C_central_95_low,C_central_95_high,C_contraction,bias,abs_error,squared_error,covered_80,covered_95
latent_leaf_continuous_propensity,1,0.05,4,1,0.10840294642682706,0.08010258107713482,0.09815065185844746,0.012167940945990456,0.24471052499914606,0.002565375647006276,0.36442433820049874,0.6968005045893718,0.05840294642682706,0.05840294642682706,0.003410904151334831,1,1
latent_leaf_continuous_propensity,2,0.05,4,1,0.10840294642682706,0.08010258107713482,0.09815065185844746,0.012167940945990456,0.24471052499914606,0.002565375647006276,0.36442433820049874,0.6968005045893718,0.05840294642682706,0.05840294642682706,0.003410904151334831,1,1
latent_leaf_continuous_propensity,3,0.05,4,1,0.10840294642682706,0.08010258107713482,0.09815065185844746,0.012167940945990456,0.24471052499914606,0.002565375647006276,0.36442433820049874,0.6968005045893718,0.05840294642682706,0.05840294642682706,0.003410904151334831,1,1
latent_leaf_continuous_propensity,4,0.05,4,1,0.10840294642682706,0.08010258107713482,0.09815065185844746,0.012167940945990456,0.24471052499914606,0.002565375647006276,0.36442433820049874,0.6968005045893718,0.05840294642682706,0.05840294642682706,0.003410904151334831,1,1
latent_leaf_continuous_propensity,5,0.05,4,1,0.22274985444620504,0.1986116847296702,0.15071241647562822,0.0435157865111318,0.43554579042001057,0.011188614849218159,0.566445218896992,1.0699520162082643,0.17274985444620505,0.17274985444620505,0.029842512211185033,1,1
latent_leaf_continuous_propensity,6,0.05,4,1,0.1551021459644142,0.1254059656873635,0.12439879748742369,0.021553915608153076,0.3314930354284715,0.0049464612752293,0.4620140524481383,0.8831438530287008,0.10510214596441421,0.10510214596441421,0.01104646108632503,1,1
latent_leaf_continuous_propensity,7,0.05,4,1,0.10840294642682706,0.08010258107713482,0.09815065185844746,0.012167940945990456,0.24471052499914606,0.002565375647006276,0.36442433820049874,0.6968005045893718,0.05840294642682706,0.05840294642682706,0.003410904151334831,1,1
latent_leaf_continuous_propensity,8,0.05,4,1,0.1551021459644142,0.1254059656873635,0.12439879748742369,0.021553915608153076,0.3314930354284715,0.0049464612752293,0.4620140524481383,0.8831438530287008,0.10510214596441421,0.10510214596441421,0.01104646108632503,1,1
latent_leaf_continuous_propensity,9,0.05,4,1,0.10840294642682706,0.08010258107713482,0.09815065185844746,0.012167940945990456,0.24471052499914606,0.002565375647006276,0.36442433820049874,0.6968005045893718,0.05840294642682706,0.05840294642682706,0.003410904151334831,1,1
latent_leaf_continuous_propensity,10,0.05,4,1,0.22274985444620504,0.1986116847296702,0.15071241647562822,0.0435157865111318,0.43554579042001057,0.011188614849218159,0.566445218896992,1.0699520162082643,0.17274985444620505,0.17274985444620505,0.029842512211185033,1,1
latent_leaf_continuous_propensity,11,0.05,4,1,0.10840294642682706,0.08010258107713482,0.09815065185844746,0.012167940945990456,0.24471052499914606,0.002565375647006276,0.36442433820049874,0.6968005045893718,0.05840294642682706,0.05840294642682706,0.003410904151334831,1,1
latent_leaf_continuous_propensity,12,0.05,4,1,0.10840294642682706,0.08010258107713482,0.09815065185844746,0.012167940945990456,0.24471052499914606,0.002565375647006276,0.36442433820049874,0.6968005045893718,0.05840294642682706,0.05840294642682706,0.003410904151334831,1,1
latent_leaf_continuous_propensity,13,0.05,4,1,0.1551021459644142,0.1254059656873635,0.12439879748742369,0.021553915608153076,0.3314930354284715,0.0049464612752293,0.4620140524481383,0.8831438530287008,0.10510214596441421,0.10510214596441421,0.01104646108632503,1,1
latent_leaf_continuous_propensity,14,0.05,4,1,0.1551021459644142,0.1254059656873635,0.12439879748742369,0.021553915608153076,0.3314930354284715,0.0049464612752293,0.4620140524481383,0.8831438530287008,0.10510214596441421,0.10510214596441421,0.01104646108632503,1,1
latent_leaf_continuous_propensity,15,0.05,4,1,0.3097414241112495,0.2967848306054273,0.16968753640675288,0.0917606158285305,0.5431850295359619,0.02942346633924844,0.6646073051727396,1.204662004295965,0.2597414241112495,0.2597414241112495,0.06746560739933999,0,1
latent_leaf_continuous_propensity,16,0.05,4,1,0.10840294642682706,0.08010258107713482,0.09815065185844746,0.012167940945990456,0.24471052499914606,0.002565375647006276,0.36442433820049874,0.6968005045893718,0.05840294642682706,0.05840294642682706,0.003410904151334831,1,1
latent_leaf_continuous_propensity,17,0.05,4,1,0.1551021459644142,0.1254059656873635,0.12439879748742369,0.021553915608153076,0.3314930354284715,0.0049464612752293,0.4620140524481383,0.8831438530287008,0.10510214596441421,0.10510214596441421,0.01104646108632503,1,1
latent_leaf_continuous_propensity,18,0.05,4,1,0.10840294642682706,0.08010258107713482,0.09815065185844746,0.012167940945990456,0.24471052499914606,0.002565375647006276,0.36442433820049874,0.6968005045893718,0.05840294642682706,0.05840294642682706,0.003410904151334831,1,1
latent_leaf_continuous_propensity,19,0.05,4,1,0.1551021459644142,0.1254059656873635,0.12439879748742369,0.021553915608153076,0.3314930354284715,0.0049464612752293,0.4620140524481383,0.8831438530287008,0.10510214596441421,0.10510214596441421,0.01104646108632503,1,1
latent_leaf_continuous_propensity,20,0.05,4,1,0.1551021459644142,0.1254059656873635,0.12439879748742369,0.021553915608153076,0.3314930354284715,0.0049464612752293,0.4620140524481383,0.8831438530287008,0.10510214596441421,0.10510214596441421,0.01104646108632503,1,1
latent_leaf_continuous_propensity,21,0.05,4,1,0.22274985444620504,0.1986116847296702,0.15071241647562822,0.0435157865111318,0.43554579042001057,0.011188614849218159,0.566445218896992,1.0699520162082643,0.17274985444620505,0.17274985444620505,0.029842512211185033,1,1
latent_leaf_continuous_propensity,22,0.05,4,1,0.1551021459644142,0.1254059656873635,0.12439879748742369,0.021553915608153076,0.3314930354284715,0.0049464612752293,0.4620140524481383,0.8831438530287008,0.10510214596441421,0.10510214596441421,0.01104646108632503,1,1
latent_leaf_continuous_propensity,23,0.05,4,1,0.10840294642682706,0.08010258107713482,0.09815065185844746,0.012167940945990456,0.24471052499914606,0.002565375647006276,0.36442433820049874,0.6968005045893718,0.05840294642682706,0.05840294642682706,0.003410904151334831,1,1
