rho_type,n,TPR,TNR,balanced_accuracy,true_positive_count,true_negative_count,false_positive_count,false_negative_count
sampled_pi,26,0.0,1.0,0.5,0,16,0,10
collapsed,26,0.0,1.0,0.5,0,16,0,10
