mode,J,K,n,n_R1,n_R0,median_rho_given_R1,median_rho_given_R0,mean_brier,mean_prior_brier,mean_brier_improvement,relative_brier_improvement,mean_log_score_improvement,median_pi_contraction,median_pi_contraction_R1,median_pi_contraction_R0,mean_abs_pi_error
fixed_pi_demonstration,4,1,1000,340,660,0.9965008222557613,0.00014043887352698596,0.031603725313887845,0.2544444444444445,0.22284071913055664,0.8757932192903972,0.620605939865774,0.8829123745538375,1.1346811308730929,0.8784333943226055,0.20912295389867205
fixed_pi_demonstration,4,5,1000,338,662,0.999236522433105,3.056150237638464e-05,0.018462545011465794,0.2531111111111111,0.23464856609964532,0.9270575482426724,0.6582489381459472,0.8804672051437652,1.13406605933123,0.8783369071717969,0.20849076080996018
fixed_pi_demonstration,4,20,1000,309,691,0.9992385013706974,3.0482228860574318e-05,0.016601261923958586,0.23377777777777778,0.2171765158538192,0.9289869974735612,0.6205474768574731,0.8804671897385733,1.1340658345672072,0.8783368375500286,0.2095801206750669
fixed_pi_demonstration,16,1,1000,323,677,0.9999999982680912,6.927635177745093e-11,1.637323533795442e-07,0.24311111111111114,0.24311094737875777,0.9999993265122576,0.7021340769112018,0.8783100679496896,1.1338934194204422,0.878310065714526,0.20614359931352463
fixed_pi_demonstration,16,5,1000,347,653,0.9999999999995275,1.8767125575888314e-14,1.656819314676534e-08,0.25911111111111107,0.2591110945429179,0.9999999360575736,0.7407875533357127,0.878310065654597,1.133893419027789,0.8783100656536965,0.20507226288536817
fixed_pi_demonstration,16,20,1000,315,685,0.9999999999822968,8.74248434931388e-15,2.9658940736859314e-12,0.23777777777777778,0.23777777777481188,0.9999999999875265,0.689294383718946,0.8783100656543018,1.1338934190316967,0.8783100656536876,0.20599999859637302
fixed_pi_demonstration,64,1,1000,342,658,1.0,1.0864028085256153e-37,2.8399992226879397e-49,0.25577777777777777,0.25577777777777777,1.0,0.7327493228454168,0.8783100656536799,1.133893419027682,0.8783100656536799,0.20507142857142857
fixed_pi_demonstration,64,5,1000,341,659,1.0,1.040613964900088e-50,7.455492945879875e-66,0.2551111111111111,0.2551111111111111,1.0,0.7311398849329828,0.8783100656536799,1.133893419027682,0.8783100656536799,0.20585714285714288
fixed_pi_demonstration,64,20,1000,319,681,1.0,4.790926462920014e-51,2.2259193507466446e-62,0.24044444444444446,0.24044444444444446,1.0,0.6957322508594326,0.8783100656536799,1.133893419027682,0.8783100656536799,0.2057857142857143
prior_calibrated_binary_root,4,1,200,33,167,0.8829990448901621,0.00014043887352698596,0.02989293868996837,0.13777777777777778,0.10788483908780941,0.78303512241152,0.33894265336561785,0.8829123745538375,1.1346811308730929,0.8784333943226055,0.11008350358518636
prior_calibrated_binary_root,4,5,200,25,175,0.9992345493398451,3.056150237638464e-05,0.008140999025834083,0.1111111111111111,0.10297011208527702,0.9267310087674933,0.3551238668084191,0.8783369418575911,1.1340662819112,0.8783369071717969,0.10428567702511012
prior_calibrated_binary_root,4,20,200,28,172,0.9992385013706974,3.0482228860574264e-05,0.019172417963630336,0.12111111111111111,0.10193869314748077,0.8416956314929604,0.34967486984734886,0.8783368375500286,1.1340658345672072,0.8783368375500286,0.10414248098587844
prior_calibrated_binary_root,16,1,200,32,168,0.9999999982680912,6.927635177745093e-11,3.4015043534687564e-10,0.13444444444444445,0.13444444410429401,0.9999999974699555,0.439828743487414,0.8783100679496896,1.1338934194204422,0.878310065714526,0.10245010875609081
prior_calibrated_binary_root,16,5,200,36,164,0.999999999982272,2.4844535217808046e-13,4.48325753679531e-13,0.14777777777777776,0.14777777777732942,0.9999999999969661,0.4720203284611915,0.8783100656543035,1.133893419031702,0.8783100656538981,0.11186591817142688
prior_calibrated_binary_root,16,20,200,25,175,0.9999999999997797,7.081412322939195e-13,3.033318177117698e-08,0.11111111111111112,0.11111108077792935,0.9999997270013641,0.38348895939306443,0.8783100656543018,1.1338934190277317,0.8783100656543018,0.10667572296921998
prior_calibrated_binary_root,64,1,200,24,176,1.0,1.0864028085256153e-37,7.01348434750581e-55,0.10777777777777779,0.10777777777777779,1.0,0.3754541062850467,0.8783100656536799,1.133893419027682,0.8783100656536799,0.10100359847055518
prior_calibrated_binary_root,64,5,200,36,164,1.0,1.0473554490377982e-50,1.3201273328254087e-76,0.14777777777777779,0.14777777777777779,1.0,0.4720203810310927,0.8783100656536799,1.133893419027682,0.8783100656536799,0.10347683785452459
prior_calibrated_binary_root,64,20,200,29,171,1.0,4.790926462920014e-51,3.941864693253641e-73,0.12444444444444443,0.12444444444444443,1.0,0.4156900540958992,0.8783100656536799,1.133893419027682,0.8783100656536799,0.09249678837943981
