part,alternative,beta_gap_regime,beta_pres,beta_abs,J,K,C,KL_1_to_0_per_leaf,KL_0_to_1_per_leaf,E_R1_log_B,E_R0_log_B,required_log_B_for_rho_0_50,required_log_B_for_rho_0_80,required_log_B_for_rho_0_95,required_log_B_for_rho_0_05,I_total,I_total_over_prior_precision,prior_precision_scale,approximate_contraction
binary_root_separation,,narrow,0.6,0.4,4,1,,0.06551376789625407,0.06551376789625407,0.2620550715850163,-0.2620550715850163,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,narrow,0.6,0.4,16,1,,0.06551376789625407,0.06551376789625407,1.0482202863400651,-1.0482202863400651,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,narrow,0.6,0.4,64,1,,0.06551376789625407,0.06551376789625407,4.192881145360261,-4.192881145360261,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,narrow,0.6,0.4,4,5,,0.08073165063082335,0.0807316506308233,0.3229266025232934,-0.3229266025232932,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,narrow,0.6,0.4,16,5,,0.08073165063082335,0.0807316506308233,1.2917064100931737,-1.2917064100931728,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,narrow,0.6,0.4,64,5,,0.08073165063082335,0.0807316506308233,5.166825640372695,-5.166825640372691,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,narrow,0.6,0.4,4,20,,0.08109302056919088,0.0810930205691902,0.3243720822767635,-0.3243720822767608,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,narrow,0.6,0.4,16,20,,0.08109302056919088,0.0810930205691902,1.297488329107054,-1.2974883291070431,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,narrow,0.6,0.4,64,20,,0.08109302056919088,0.0810930205691902,5.189953316428216,-5.189953316428173,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,medium,0.8,0.2,4,1,,0.6524880511992486,0.6524880511992484,2.6099522047969943,-2.6099522047969934,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,medium,0.8,0.2,16,1,,0.6524880511992486,0.6524880511992484,10.439808819187977,-10.439808819187974,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,medium,0.8,0.2,64,1,,0.6524880511992486,0.6524880511992484,41.75923527675191,-41.759235276751895,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,medium,0.8,0.2,4,5,,0.8276140422392984,0.8276140422392981,3.3104561689571934,-3.3104561689571925,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,medium,0.8,0.2,16,5,,0.8276140422392984,0.8276140422392981,13.241824675828774,-13.24182467582877,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,medium,0.8,0.2,64,5,,0.8276140422392984,0.8276140422392981,52.967298703315095,-52.96729870331508,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,medium,0.8,0.2,4,20,,0.8317766055911172,0.8317766055911157,3.327106422364469,-3.3271064223644626,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,medium,0.8,0.2,16,20,,0.8317766055911172,0.8317766055911157,13.308425689457875,-13.30842568945785,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,medium,0.8,0.2,64,20,,0.8317766055911172,0.8317766055911157,53.2337027578315,-53.2337027578314,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,extreme,0.95,0.05,4,1,,1.8257870222005013,1.825787022200501,7.303148088802005,-7.303148088802004,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,extreme,0.95,0.05,16,1,,1.8257870222005013,1.825787022200501,29.21259235520802,-29.212592355208017,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,extreme,0.95,0.05,64,1,,1.8257870222005013,1.825787022200501,116.85036942083208,-116.85036942083207,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,extreme,0.95,0.05,4,5,,2.6307290838175406,2.63072908381754,10.522916335270162,-10.52291633527016,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,extreme,0.95,0.05,16,5,,2.6307290838175406,2.63072908381754,42.09166534108065,-42.09166534108064,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
binary_root_separation,,extreme,0.95,0.05,64,5,,2.6307290838175406,2.63072908381754,168.3666613643226,-168.36666136432257,1.6094379124341005,2.9957322735539913,4.55387689160054,-1.3350010667323398,,,,
