mode,replicate,J,K,pi_true,R_true,log_B,rho,pi_post_mean,pi_post_sd,pi_contraction,brier,log_score,prior_brier,prior_log_score,delta_brier,delta_log_score
prior_calibrated_binary_root,1,4,1,0.5271149661682923,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,2,4,1,0.4966084133849944,1,7.261159866552996,0.9965008222557613,0.28521440317939445,0.15983009758625985,1.1346811308730929,1.2244244885775371e-05,-0.0035053141858635887,0.6944444444444445,-1.791759469228055,0.6944322001995588,1.7882541550421913
prior_calibrated_binary_root,3,4,1,0.3857875446293713,0,0.0,0.16666666666666669,0.16666666666666666,0.14085904245475275,1.0,0.027777777777777783,-0.1823215567939547,0.027777777777777776,-0.1823215567939546,-6.938893903907228e-18,-1.1102230246251565e-16
prior_calibrated_binary_root,4,4,1,0.032800519154736536,0,0.0,0.16666666666666669,0.16666666666666666,0.14085904245475275,1.0,0.027777777777777783,-0.1823215567939547,0.027777777777777776,-0.1823215567939546,-6.938893903907228e-18,-1.1102230246251565e-16
prior_calibrated_binary_root,5,4,1,0.023802640453450857,0,-3.630579933276497,0.005272218635678937,0.14361031694795412,0.12436619165110556,0.8829123745538375,2.7796289342400272e-05,-0.005286165823698427,0.027777777777777776,-0.1823215567939546,0.027749981488435375,0.17703539097025617
prior_calibrated_binary_root,6,4,1,0.1680570344828043,1,3.630579933276497,0.8829990448901621,0.26899986355573746,0.16255681920663198,1.1540389340560018,0.013689223496614299,-0.1244311600433576,0.6944444444444445,-1.791759469228055,0.6807552209478303,1.6673283091846973
prior_calibrated_binary_root,7,4,1,0.14670422712907957,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,8,4,1,0.08617503313963325,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,9,4,1,0.0863452654309014,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,10,4,1,0.07799297894835622,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,11,4,1,0.09924949160368231,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,12,4,1,0.043570752821297555,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,13,4,1,0.02885924632086286,0,0.0,0.16666666666666669,0.16666666666666666,0.14085904245475275,1.0,0.027777777777777783,-0.1823215567939547,0.027777777777777776,-0.1823215567939546,-6.938893903907228e-18,-1.1102230246251565e-16
prior_calibrated_binary_root,14,4,1,0.10218894901979732,0,-3.630579933276497,0.005272218635678937,0.14361031694795412,0.12436619165110556,0.8829123745538375,2.7796289342400272e-05,-0.005286165823698427,0.027777777777777776,-0.1823215567939546,0.027749981488435375,0.17703539097025617
prior_calibrated_binary_root,15,4,1,0.06322493574794086,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,16,4,1,0.00669582497123707,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,17,4,1,0.145887476982586,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,18,4,1,0.38668694918924273,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,19,4,1,0.0787743584081408,0,-3.630579933276497,0.005272218635678937,0.14361031694795412,0.12436619165110556,0.8829123745538375,2.7796289342400272e-05,-0.005286165823698427,0.027777777777777776,-0.1823215567939546,0.027749981488435375,0.17703539097025617
prior_calibrated_binary_root,20,4,1,0.005965837525925757,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,21,4,1,0.0839879957433625,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,22,4,1,0.19782400441337886,0,0.0,0.16666666666666669,0.16666666666666666,0.14085904245475275,1.0,0.027777777777777783,-0.1823215567939547,0.027777777777777776,-0.1823215567939546,-6.938893903907228e-18,-1.1102230246251565e-16
prior_calibrated_binary_root,23,4,1,0.04591676639167155,0,0.0,0.16666666666666669,0.16666666666666666,0.14085904245475275,1.0,0.027777777777777783,-0.1823215567939547,0.027777777777777776,-0.1823215567939546,-6.938893903907228e-18,-1.1102230246251565e-16
prior_calibrated_binary_root,24,4,1,0.014327148554388524,0,-3.630579933276497,0.005272218635678937,0.14361031694795412,0.12436619165110556,0.8829123745538375,2.7796289342400272e-05,-0.005286165823698427,0.027777777777777776,-0.1823215567939546,0.027749981488435375,0.17703539097025617
prior_calibrated_binary_root,25,4,1,0.1933918149175543,1,7.261159866552996,0.9965008222557613,0.28521440317939445,0.15983009758625985,1.1346811308730929,1.2244244885775371e-05,-0.0035053141858635887,0.6944444444444445,-1.791759469228055,0.6944322001995588,1.7882541550421913
prior_calibrated_binary_root,26,4,1,0.3303652277508218,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,27,4,1,0.18576756000188083,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,28,4,1,0.33232673799935447,0,-3.630579933276497,0.005272218635678937,0.14361031694795412,0.12436619165110556,0.8829123745538375,2.7796289342400272e-05,-0.005286165823698427,0.027777777777777776,-0.1823215567939546,0.027749981488435375,0.17703539097025617
prior_calibrated_binary_root,29,4,1,0.33384189904823375,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,30,4,1,0.16004522632966414,1,7.261159866552996,0.9965008222557613,0.28521440317939445,0.15983009758625985,1.1346811308730929,1.2244244885775371e-05,-0.0035053141858635887,0.6944444444444445,-1.791759469228055,0.6944322001995588,1.7882541550421913
prior_calibrated_binary_root,31,4,1,0.18043179487868832,1,7.261159866552996,0.9965008222557613,0.28521440317939445,0.15983009758625985,1.1346811308730929,1.2244244885775371e-05,-0.0035053141858635887,0.6944444444444445,-1.791759469228055,0.6944322001995588,1.7882541550421913
prior_calibrated_binary_root,32,4,1,0.2223746412701304,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,33,4,1,0.27590422306400586,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,34,4,1,0.17381023933578002,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,35,4,1,0.12086517898066218,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,36,4,1,0.19593953927716098,1,7.261159866552996,0.9965008222557613,0.28521440317939445,0.15983009758625985,1.1346811308730929,1.2244244885775371e-05,-0.0035053141858635887,0.6944444444444445,-1.791759469228055,0.6944322001995588,1.7882541550421913
prior_calibrated_binary_root,37,4,1,0.19583138426677882,1,7.261159866552996,0.9965008222557613,0.28521440317939445,0.15983009758625985,1.1346811308730929,1.2244244885775371e-05,-0.0035053141858635887,0.6944444444444445,-1.791759469228055,0.6944322001995588,1.7882541550421913
prior_calibrated_binary_root,38,4,1,0.00017169935999233223,0,-3.630579933276497,0.005272218635678937,0.14361031694795412,0.12436619165110556,0.8829123745538375,2.7796289342400272e-05,-0.005286165823698427,0.027777777777777776,-0.1823215567939546,0.027749981488435375,0.17703539097025617
prior_calibrated_binary_root,39,4,1,0.2927202422549476,0,-3.630579933276497,0.005272218635678937,0.14361031694795412,0.12436619165110556,0.8829123745538375,2.7796289342400272e-05,-0.005286165823698427,0.027777777777777776,-0.1823215567939546,0.027749981488435375,0.17703539097025617
prior_calibrated_binary_root,40,4,1,0.45040337404866443,0,-3.630579933276497,0.005272218635678937,0.14361031694795412,0.12436619165110556,0.8829123745538375,2.7796289342400272e-05,-0.005286165823698427,0.027777777777777776,-0.1823215567939546,0.027749981488435375,0.17703539097025617
prior_calibrated_binary_root,41,4,1,0.0005214577115045658,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,42,4,1,0.5959496790769364,1,7.261159866552996,0.9965008222557613,0.28521440317939445,0.15983009758625985,1.1346811308730929,1.2244244885775371e-05,-0.0035053141858635887,0.6944444444444445,-1.791759469228055,0.6944322001995588,1.7882541550421913
prior_calibrated_binary_root,43,4,1,0.1125639564477066,0,-7.261159866552996,0.00014043887352698596,0.14287720555336098,0.12373528678456044,0.8784333943226055,1.9723077197528757e-08,-0.00014044873598898508,0.027777777777777776,-0.1823215567939546,0.027777758054700577,0.1821811080579656
prior_calibrated_binary_root,44,4,1,0.2266366110749692,0,0.0,0.16666666666666669,0.16666666666666666,0.14085904245475275,1.0,0.027777777777777783,-0.1823215567939547,0.027777777777777776,-0.1823215567939546,-6.938893903907228e-18,-1.1102230246251565e-16
prior_calibrated_binary_root,45,4,1,0.06268342613280865,1,3.630579933276497,0.8829990448901621,0.26899986355573746,0.16255681920663198,1.1540389340560018,0.013689223496614299,-0.1244311600433576,0.6944444444444445,-1.791759469228055,0.6807552209478303,1.6673283091846973
prior_calibrated_binary_root,46,4,1,0.06477039921666011,0,3.630579933276497,0.8829990448901621,0.26899986355573746,0.16255681920663198,1.1540389340560018,0.7796873132769385,-2.145573180885753,0.027777777777777776,-0.1823215567939546,-0.7519095354991607,-1.9632516240917985
