quantity,original,reweighted,shift
C_Chicken_med,0.3622367727069495,0.18098400546070242,-0.18125276724624706
C_LLMs_med,0.16954255217661135,0.09875994159194211,-0.07078261058466924
mean_delta_j,0.1585972446896543,0.15175315429434133,-0.006844090395312974
beta_abs_neutral_med,0.30428348080282286,0.3291565931018423,0.02487311229901945
