fit,cell,tail,delta,base_delta,abs_closure_pct_vs_baseline_3s
pool_3s,E_cross × Human,right,-0.16336000000000006,-0.22784000000000004,28.300561797752792
pool_3s,E_cross × ELIZA,left,-0.2565599999999999,-0.3442799999999999,25.479261066573734
pool_3s,E_chickenB × Chicken,right,0.14043478260869563,0.17647826086956525,20.423749692042403
pool_3s,E_llmC × 2024 Leading Chat LLMs,right,0.10991666666666665,0.11299999999999998,2.7286135693215288
pool_3s_abs_by_sd,E_cross × Human,right,-0.20632000000000006,-0.22784000000000004,9.445224719101114
pool_3s_abs_by_sd,E_cross × ELIZA,left,-0.3236399999999999,-0.3442799999999999,5.995120250958521
pool_3s_abs_by_sd,E_chickenB × Chicken,right,0.1656521739130435,0.17647826086956525,6.134515890613464
pool_3s_abs_by_sd,E_llmC × 2024 Leading Chat LLMs,right,0.11158333333333333,0.11299999999999998,1.2536873156342034
