system,pool_3s_med,pool_3s_abs_by_sd_med,shift
Human,0.999,0.999,0.0
Chicken,0.3622367727069495,0.29992661315912217,-0.062310159547827315
LLMs,0.16954255217661135,0.12698973285954473,-0.042552819317066615
ELIZA,0.001,0.001,0.0
