system,exact_med,exact_lo,exact_hi,pool_3s_abs_by_sd_med,pool_3s_med,shift_vs_pool_3s
Human,0.999,0.999,0.999,0.999,0.999,0.0
Chicken,0.25155380592359433,0.036709814200789496,0.6125902911067359,0.29992661315912217,0.3622367727069495,-0.11068296678335515
LLMs,0.11109616461857304,0.004920752992446715,0.44584465431858505,0.12698973285954473,0.16954255217661135,-0.05844638755803831
ELIZA,0.001,0.001,0.001,0.001,0.001,0.0
