dgp,fit,leaf,nuisance_truth,design,estimand,parameter,kind,support,demandingness,truth,posterior_mean,posterior_median,posterior_p03,posterior_p97,signed_error,abs_error,squared_error,interval_includes_truth
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__moderately_demanding,beta_abs,moderate support,moderately demanding,0.32484646175833376,0.13876909344507815,0.13763652087549516,0.07307787321207443,0.21493672195558178,-0.1872099408828386,0.1872099408828386,0.035047561965355925,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__moderately_undemanding,beta_abs,moderate support,moderately undemanding,0.6389513159466798,0.13793187411298,0.1340775587819623,0.07704116326073035,0.218463092157185,-0.5048737571647175,0.5048737571647175,0.25489751067361816,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__neutral,beta_abs,moderate support,neutral,0.4019584778791272,0.13306972824173927,0.1292892220142391,0.0745049971618896,0.2102828753723816,-0.2726692558648881,0.2726692558648881,0.07434852309391182,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__strongly_demanding,beta_abs,moderate support,strongly demanding,0.12155430769091663,0.10253206434858296,0.09867062653381997,0.05938925653383226,0.1618106397711199,-0.022883681157096658,0.022883681157096658,0.0005236628632996606,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__weakly_demanding,beta_abs,moderate support,weakly demanding,0.2863762716993723,0.11234125662904992,0.10901193793473968,0.0677169849934915,0.17416702689729816,-0.17736433376463262,0.17736433376463262,0.031458106891771996,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__weakly_undemanding,beta_abs,moderate support,weakly undemanding,0.3912527556246291,0.14013203125934504,0.13692544480076627,0.08404154755106552,0.21376200844135235,-0.25432731082386284,0.25432731082386284,0.06468238103089774,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__moderately_demanding,beta_abs,strong support,moderately demanding,0.21587260411564355,0.12463987390708836,0.1212935450533411,0.07384181363574968,0.18752265822064243,-0.09457905906230245,0.09457905906230245,0.008945198413110495,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__moderately_undemanding,beta_abs,strong support,moderately undemanding,0.5886514926336597,0.14481116434373886,0.14198380239505431,0.08191436003130294,0.22048211250877622,-0.44666769023860536,0.44666769023860536,0.19951202550309072,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__neutral,beta_abs,strong support,neutral,0.3996914320701517,0.12288038693148286,0.11999679731291843,0.07362025884591417,0.1863504686371233,-0.2796946347572332,0.2796946347572332,0.07822908871198209,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__strongly_demanding,beta_abs,strong support,strongly demanding,0.10156225083779936,0.1040874950156595,0.10077380703861376,0.05976665838165632,0.1657935002963072,-0.0007884437991856064,0.0007884437991856064,6.216436244742327e-07,True
