dgp,fit,leaf,design,nuisance_truth,estimand,system,node_key,node_name,node_type,top_feature,depth,fanout,subtree_indicator_count,subtree_rating_count,z_true,prior_p_z1,posterior_p_z1,prior_entropy,posterior_entropy,entropy_reduction,relative_entropy_reduction,brier,log_score,neg_log_score
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Complexity > Informational Complexity > Efficient Problem-Solving,Efficient Problem-Solving,feature,Complexity,3,0,0,0,1,0.7112437649864327,0.7323701804896914,0.6010342755200734,0.580887127659403,0.0201471478606704,0.033520796868426725,0.07162572029112037,-0.31146918179807387,0.31146918179807387
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Complexity > Informational Complexity > Efficient Network Topology,Efficient Network Topology,feature,Complexity,3,0,0,0,1,0.7257576726295476,0.7435541391048996,0.5874328485943858,0.5693064743711735,0.018126374223212283,0.03085692988838677,0.06576447957022916,-0.2963136991829577,0.2963136991829577
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Complexity > Structural Complexity,Structural Complexity,feature,Complexity,2,4,4,4,1,0.7422242544515112,0.821548066590705,0.5707175361844001,0.46903794341460303,0.1016795927697971,0.17816097512893697,0.031845092537515454,-0.19656483245484052,0.19656483245484052
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Selective Attention,Selective Attention,feature,Selective Attention,1,5,12,12,1,0.8646412396920092,0.7103972980264608,0.3964479907406842,0.601795564867468,-0.20534757412678378,-0.517968507655021,0.08386972499037457,-0.34193089076515315,0.34193089076515315
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Non-Linear Capabilities,Non-Linear Capabilities,feature,Selective Attention,2,2,2,2,1,0.7954011205687049,0.7393948816316188,0.506712106645426,0.5736889008144351,-0.06697679416900915,-0.13217918674257462,0.06791502771979797,-0.3019231548302909,0.3019231548302909
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Adaptive Focus,Adaptive Focus,feature,Selective Attention,2,3,3,3,1,0.7773862350846548,0.7588929868089572,0.5301962659386177,0.5523526037189038,-0.02215633778028614,-0.04178893591614099,0.058132591809905675,-0.2758945038734273,0.2758945038734273
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Attention-Constrained Architecture,Attention-Constrained Architecture,feature,Selective Attention,2,2,2,2,1,0.6881837127022514,0.7377782512984001,0.6205462078953299,0.5753679921141648,0.0451782157811651,0.07280395111009283,0.06876024549212499,-0.3041119720279622,0.3041119720279622
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Performance Sensitivity,Performance Sensitivity,feature,Selective Attention,2,3,3,3,0,0.6881837127022514,0.6624553551457188,0.6205462078953299,0.6393934061594451,-0.018847198264115184,-0.03037194978281814,0.43884709756124046,-1.0860574963681973,1.0860574963681973
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Selective Attention > Capability Attention Modulation,Capability Attention Modulation,feature,Selective Attention,2,2,2,2,1,0.7866926312863065,0.510439502861616,0.5183058457468325,0.6929291982807315,-0.17462335253389905,-0.3369117943909785,0.2396694803583817,-0.6724831540577181,0.6724831540577181
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Human,Global Workspace Theory > Integration,Integration,feature,Integration,1,2,2,2,1,0.8646412396920092,0.7448148423143381,0.3964479907406842,0.5679602534396648,-0.17151226269898062,-0.4326223532588577,0.0651194647030561,-0.2946196252984797,0.2946196252984797
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Representationality,Representationality,feature,Representationality,1,4,8,12,1,0.8831237744098546,0.059256212747659145,0.3606545355040938,0.22491604209114618,0.13573849341294764,0.37636707721760193,0.8849988732538776,-2.825884647963379,2.825884647963379
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Representationality > Conceptual Representations,Conceptual Representations,feature,Representationality,2,3,3,3,1,0.7964561712737757,0.0935351138403063,0.5052761395117473,0.3106413741829541,0.1946347653287932,0.3852047427311142,0.8216785898405065,-2.3694183640942215,2.3694183640942215
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Representationality > Propositional Representations,Propositional Representations,feature,Representationality,2,1,1,2,1,0.7893891268072667,0.2752381945306151,0.5147649081631664,0.5883995410041426,-0.07363463284097616,-0.14304516814039697,0.5252796746672426,-1.2901183942878323,1.2901183942878323
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Representationality > World Modelling,World Modelling,feature,Representationality,2,2,2,3,1,0.7165460000352958,0.1733724581749091,0.5961859730132227,0.46119358150624246,0.13499239150698028,0.2264266480888612,0.6833130929037924,-1.7523130613058941,1.7523130613058941
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Representationality > Isomorphic Representations,Isomorphic Representations,feature,Representationality,2,2,2,4,1,0.6967727316355488,0.045323481907609146,0.6135740118482581,0.18450817512489487,0.42906583672336324,0.6992894556125281,0.9114072541970111,-3.0939300163911843,3.0939300163911843
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,feature,Hierarchical Organization,1,1,1,1,1,0.679034938096417,0.15913328975032556,0.6275947551215355,0.43822987744134284,0.18936487768019267,0.30173113483639874,0.70705682440611,-1.838013127622855,1.838013127622855
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Coherence,Coherence,feature,Coherence,1,4,13,25,0,0.27565555661717833,0.023809831446042262,0.5888031970807525,0.11251707654798493,0.47628612053276753,0.8089054592335143,0.000566908073488943,-0.024097866718958274,0.024097866718958274
