kind,support,demandingness,prior_mu,prior_sigma_logit,prior_sd_natural_approx,post_mean,post_sd,post_p03,post_p97,contraction,fraction_back_to_baseline
abs,moderate support,moderately demanding,0.1,0.3,0.02731570469460425,0.11896503740747333,0.031573875648184695,0.0694655232200654,0.18753177999169493,1.155887281737292,0.04741259351868331
abs,moderate support,moderately undemanding,0.1,0.3,0.02731570469460425,0.1072816733109936,0.028768528095982494,0.0620637125584525,0.17001016438340555,1.0531863782253155,0.018204183277483986
abs,moderate support,neutral,0.1,0.3,0.02731570469460425,0.11944114011576815,0.03232721399338067,0.06920030672126927,0.1908690468867712,1.1834662277545547,0.04860285028942035
abs,moderate support,strongly demanding,0.1,0.3,0.02731570469460425,0.10204494590110556,0.027592690080024875,0.058465601291186255,0.1598457817015969,1.010140151554477,0.005112364752763894
abs,moderate support,weakly demanding,0.1,0.3,0.02731570469460425,0.10303949550132958,0.027842613514294543,0.05932545704616388,0.16185664422334337,1.0192895927665515,0.007598738753323946
abs,moderate support,weakly undemanding,0.1,0.3,0.02731570469460425,0.10859884793717632,0.028459674264039277,0.06237632075768211,0.16906981224133166,1.041879555450788,0.02149711984294079
abs,strong support,moderately demanding,0.1,0.3,0.02731570469460425,0.11702759066430152,0.030309031985950835,0.06763471725438215,0.1793491551465201,1.1095826494250345,0.04256897666075378
abs,strong support,moderately undemanding,0.1,0.3,0.02731570469460425,0.0989365672246881,0.02651245653454794,0.057201369120801496,0.15485456429453393,0.9705939067274009,-0.0026585819382797526
abs,strong support,neutral,0.1,0.3,0.02731570469460425,0.10532746205884339,0.027842461061501792,0.0616600869693947,0.1656199897075942,1.0192840116257955,0.013318655147108449
abs,strong support,strongly demanding,0.1,0.3,0.02731570469460425,0.10615282782369968,0.0287597487073687,0.06138021626022389,0.1688753728706133,1.052864973791055,0.015382069559249194
abs,strong support,weakly demanding,0.1,0.3,0.02731570469460425,0.10075741753197795,0.026930362446679904,0.05833378082921989,0.1591581609713884,0.9858930145777838,0.0018935438299448604
abs,strong support,weakly undemanding,0.1,0.3,0.02731570469460425,0.10184509507925592,0.026780699752399263,0.05973385884458705,0.15741697937261293,0.9804140164719723,0.004612737698139781
abs,weak support,moderately demanding,0.1,0.3,0.02731570469460425,0.09967036123347313,0.027166154328448773,0.05759003733081978,0.15593464063176013,0.994525114111919,-0.0008240969163171921
abs,weak support,moderately undemanding,0.1,0.3,0.02731570469460425,0.10489510772218565,0.02874148204073273,0.06037306522472878,0.16857047666100594,1.0521962498155912,0.012237769305464101
abs,weak support,neutral,0.1,0.3,0.02731570469460425,0.10572524099221699,0.02852805359818017,0.06110819869661168,0.165934650177358,1.0443828529093522,0.014313102480542454
abs,weak support,strongly undemanding,0.1,0.3,0.02731570469460425,0.10410459359979153,0.027644512538675853,0.06063315504995262,0.1639137247000303,1.0120373187420113,0.010261483999478814
abs,weak support,weakly undemanding,0.1,0.3,0.02731570469460425,0.10612550428305778,0.028030441592932227,0.06107683109946407,0.16522274027847333,1.0261657865436349,0.015313760707644439
abs,weak undermining,neutral,0.1,0.3,0.02731570469460425,0.1089444457814063,0.02929741174528543,0.06264726099678408,0.17211729241062257,1.0725482674833804,0.02236111445351574
pres,moderate support,moderately demanding,0.9,0.3,0.027572640543407325,0.8828529712747952,0.03150906846833151,0.814749304784386,0.9323436374929457,1.1427657216481353,-0.042867571813011984
pres,moderate support,moderately undemanding,0.9,0.3,0.027572640543407325,0.8891362785163457,0.030021003483331376,0.8250014238830334,0.9361310828812022,1.0887968251016662,-0.02715930370913583
pres,moderate support,neutral,0.9,0.3,0.027572640543407325,0.8965198063366859,0.027671839698397996,0.8378911757457727,0.9393618187629965,1.0035977386654173,-0.008700484158285227
pres,moderate support,strongly demanding,0.9,0.3,0.027572640543407325,0.8984431354408537,0.027387852003651462,0.8402859489856171,0.9410183489337892,0.993298119581077,-0.00389216139786569
pres,moderate support,weakly demanding,0.9,0.3,0.027572640543407325,0.8976176380246554,0.026252298334728662,0.8405708704614133,0.9399469168899658,0.9521140455662902,-0.005955904938361456
pres,moderate support,weakly undemanding,0.9,0.3,0.027572640543407325,0.8938115911383439,0.028238835688383854,0.8337701149433627,0.938543581948055,1.0241614561335808,-0.015471022154140424
pres,strong support,moderately demanding,0.9,0.3,0.027572640543407325,0.8969959928792016,0.02758202628584348,0.8356613010294436,0.9393886220125923,1.0003404005656034,-0.007510017801996005
pres,strong support,moderately undemanding,0.9,0.3,0.027572640543407325,0.8943009193692592,0.028722924416488327,0.8336174285390618,0.9395528409442853,1.0417183066406035,-0.014247701576852179
pres,strong support,neutral,0.9,0.3,0.027572640543407325,0.8976573376284667,0.027357154602489976,0.8396350740753625,0.9403241744441722,0.9921847912760436,-0.0058566559288333875
pres,strong support,strongly demanding,0.9,0.3,0.027572640543407325,0.8918167281724072,0.02794534124777681,0.8328212462957973,0.9360861032705832,1.0135170479513105,-0.02045817956898205
pres,strong support,weakly demanding,0.9,0.3,0.027572640543407325,0.8897123648267315,0.030246624299466316,0.8259965227952315,0.9365749468054843,1.096979603815941,-0.02571908793317118
pres,strong support,weakly undemanding,0.9,0.3,0.027572640543407325,0.8974468036383075,0.027333587323058624,0.8403509942671258,0.9400271887920633,0.9913300570552044,-0.006382990904231223
pres,weak support,moderately demanding,0.9,0.3,0.027572640543407325,0.8920205611609738,0.02994345691838239,0.8277270297817061,0.9384132183259688,1.0859843790166819,-0.019948597097565468
pres,weak support,moderately undemanding,0.9,0.3,0.027572640543407325,0.8984208734888615,0.027152351210260432,0.8404373974370899,0.9401512981436495,0.9847570154738994,-0.003947816277846405
pres,weak support,neutral,0.9,0.3,0.027572640543407325,0.896166447787505,0.028436312273742107,0.836287367434354,0.9405275234226617,1.0313235045071258,-0.009583880531237599
pres,weak support,strongly undemanding,0.9,0.3,0.027572640543407325,0.8977492388408512,0.027230964927263613,0.8389591785203866,0.9411824750295029,0.9876081648543665,-0.005626902897871988
pres,weak support,weakly undemanding,0.9,0.3,0.027572640543407325,0.8935968303059431,0.02865121883782467,0.8320625120023877,0.9387191428567663,1.0391177004871677,-0.016007924235142412
pres,weak undermining,neutral,0.9,0.3,0.027572640543407325,0.8929624774975271,0.029265925484323444,0.8289005302589678,0.9388486659670722,1.0614117802119967,-0.017593806256182287
