dgp,fit,leaf,nuisance_truth,design,estimand,parameter,kind,support,demandingness,truth,posterior_mean,posterior_median,posterior_p03,posterior_p97,signed_error,abs_error,squared_error,interval_includes_truth
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__moderately_demanding,beta_abs,moderate support,moderately demanding,0.32484646175833376,0.11896503740747333,0.11579313964290175,0.0694655232200654,0.18753177999169493,-0.209053322115432,0.209053322115432,0.043703291487498575,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__moderately_undemanding,beta_abs,moderate support,moderately undemanding,0.6389513159466798,0.1072816733109936,0.10399325842068644,0.0620637125584525,0.17001016438340555,-0.5349580575259933,0.5349580575259933,0.286180123311984,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__neutral,beta_abs,moderate support,neutral,0.4019584778791272,0.11944114011576815,0.11636045223021677,0.06920030672126927,0.1908690468867712,-0.28559802564891046,0.28559802564891046,0.08156623225455571,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__strongly_demanding,beta_abs,moderate support,strongly demanding,0.12155430769091663,0.10204494590110556,0.09859456617518347,0.058465601291186255,0.1598457817015969,-0.022959741515733156,0.022959741515733156,0.0005271497304692806,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__weakly_demanding,beta_abs,moderate support,weakly demanding,0.2863762716993723,0.10303949550132958,0.10063124401461795,0.05932545704616388,0.16185664422334337,-0.18574502768475434,0.18574502768475434,0.03450121530961016,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__moderate_support__weakly_undemanding,beta_abs,moderate support,weakly undemanding,0.3912527556246291,0.10859884793717632,0.10570520780345849,0.06237632075768211,0.16906981224133166,-0.2855475478211706,0.2855475478211706,0.08153740206668371,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__moderately_demanding,beta_abs,strong support,moderately demanding,0.21587260411564355,0.11702759066430152,0.11431600064039169,0.06763471725438215,0.1793491551465201,-0.10155660347525186,0.10155660347525186,0.010313743709429538,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__moderately_undemanding,beta_abs,strong support,moderately undemanding,0.5886514926336597,0.0989365672246881,0.09610152184417767,0.057201369120801496,0.15485456429453393,-0.49254997078948204,0.49254997078948204,0.2426054737247196,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__neutral,beta_abs,strong support,neutral,0.3996914320701517,0.10532746205884339,0.10178245238492423,0.0616600869693947,0.1656199897075942,-0.29790897968522745,0.29790897968522745,0.08874976017709325,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_abs__strong_support__strongly_demanding,beta_abs,strong support,strongly demanding,0.10156225083779936,0.10615282782369968,0.10238315724347093,0.06138021626022389,0.1688753728706133,0.000820906405671562,0.000820906405671562,6.738873268726032e-07,True
