fit_variant,seed,max_rhat,n_rhat_gt_1p01,n_rhat_gt_1p05,min_ess_bulk,min_ess_tail,median_ess_bulk,median_ess_tail,n_divergences,divergence_rate,max_tree_depth_hits,max_tree_depth_hit_rate,mean_acceptance_rate,runtime_seconds,run_dir
targeted_strong_lower_override,20260511,1.01,0,0,2679.0,1569.0,7631.0,2784.0,0,0.0,0,0.0,0.9481066738517945,2210.085331916809,runs/targeted_strong_lower_override/seed_20260511
targeted_strong_lower_override,20260512,1.05,57,0,177.0,56.0,992.0,267.0,0,0.0,0,0.0,0.9730885911521328,900.7038812637329,runs/targeted_strong_lower_override/seed_20260512
