fit_variant,seed,system,n_ratings,mean_RPS,median_RPS,q90_RPS,mean_RPS_baseline_empirical_marginal,mean_RPS_improvement,weighted_mean_cell_TV,median_cell_TV,q90_cell_TV,max_cell_TV,fraction_cell_TV_gt_0p3,fraction_cell_TV_gt_0p5,n_cells,n_cells_ge_5,mean_abs_top7_error_high_q,q90_abs_top7_error_high_q,mean_abs_high_error_high_q,q90_abs_high_error_high_q,posterior_predictive_tv_p_value,posterior_predictive_tv_p_value_status,ppc_draws
targeted_strong_lower_override,20260511,ALL,379,0.0792649547053772,0.0557688653715547,0.2046653142812511,0.2272610187898998,0.1479960640845225,0.4233502018801671,0.4256360092006804,0.8393142360333289,0.936410803916748,0.6884422110552764,0.3618090452261306,199,0,0.3452037149601823,0.4902900336047258,0.2211930365934903,0.3401914290376217,1.0,computed_overall,500
targeted_strong_lower_override,20260511,Chicken,93,0.0685611777073081,0.0382246137482924,0.1554424850861425,0.2308347056689193,0.1622735279616112,0.4437442863808929,0.4163576235912805,0.7497731008669655,0.8345872150975818,0.7551020408163265,0.2857142857142857,49,0,0.2666018898086359,0.4173562606219271,0.1695365719816087,0.2976782973887603,,not_computed_system_specific,500
targeted_strong_lower_override,20260511,ELIZA,50,0.0667860278324215,0.0557717223661137,0.1520789613482079,0.2213141790992821,0.1545281512668607,0.5737611489438286,0.6092015651642629,0.9050397969633972,0.936410803916748,0.64,0.5,50,0,0.4368294005270005,0.5143902304329919,0.2987634974234592,0.5647837228570585,,not_computed_system_specific,500
targeted_strong_lower_override,20260511,Human,50,0.0704183191522952,0.05553906393947,0.1339113583361243,0.2272860348600561,0.1568677157077609,0.6140993259520241,0.6768118796885316,0.904594402856472,0.925057306583866,0.94,0.52,50,0,0.4380100349504758,0.5157629081576074,0.2645100472651207,0.6118988380559549,,not_computed_system_specific,500
targeted_strong_lower_override,20260511,LLMs,186,0.0903495212759273,0.0606470429121533,0.2896566323959834,0.2270660634204064,0.136716542144479,0.3214434630879982,0.2756947486403446,0.5540226456848852,0.746182454028398,0.42,0.14,50,0,0.1469053683948476,0.2565045134035954,0.1495402093802003,0.1564749961007242,,not_computed_system_specific,500
targeted_strong_lower_override,20260512,ALL,379,0.0648913727546949,0.020378085295594,0.1855248488850741,0.2345430622176119,0.169651689462917,0.3645329792057546,0.320667121797567,0.8352308697323566,0.9462407168070044,0.6130653266331658,0.2462311557788944,199,0,0.3024814600385274,0.4464392511748358,0.177807800736906,0.2855174873711537,1.0,computed_overall,100
targeted_strong_lower_override,20260512,Chicken,93,0.0548089534383462,0.0190613760559398,0.1144658024930368,0.2269997641222184,0.172190810683872,0.3596491516204216,0.3214594881003347,0.6632934704058716,0.8719483759422377,0.6326530612244898,0.1632653061224489,49,0,0.2261876078449073,0.3093302878643911,0.1927183699901675,0.3323870105612185,,not_computed_system_specific,100
targeted_strong_lower_override,20260512,ELIZA,50,0.0521604341845838,0.0123816684446477,0.1461445399646835,0.2129415464015613,0.1607811122169775,0.4465473301017624,0.2215261161953544,0.8937164314528028,0.9462407168070044,0.42,0.34,50,0,0.4375569410674416,0.587726620830229,0.3005791296012858,0.5305556754762071,,not_computed_system_specific,100
targeted_strong_lower_override,20260512,Human,50,0.0520711355359698,0.0211731053206905,0.1244677672395406,0.2674358296029686,0.2153646940669987,0.4821477223745865,0.3220159335155832,0.8801461321838813,0.9450066042777068,0.92,0.32,50,0,0.3581362685708748,0.4729451815181513,0.1742811678013117,0.2265947141591013,,not_computed_system_specific,100
targeted_strong_lower_override,20260512,LLMs,186,0.0768011780550295,0.0186417133782065,0.2059572527562699,0.2352794285853878,0.1584782505303583,0.3133111580347547,0.2943818853374828,0.5721097552549917,0.7389241712569092,0.48,0.16,50,0,0.2030194061355934,0.3174469871369311,0.1257601443219922,0.1300457717222335,,not_computed_system_specific,100
