fit_variant,system,n_ratings,mean_RPS,median_RPS,q90_RPS,mean_RPS_baseline_empirical_marginal,mean_RPS_improvement,weighted_mean_cell_TV,median_cell_TV,q90_cell_TV,max_cell_TV,fraction_cell_TV_gt_0p3,fraction_cell_TV_gt_0p5,n_cells,n_cells_ge_5,mean_abs_top7_error_high_q,q90_abs_top7_error_high_q,mean_abs_high_error_high_q,q90_abs_high_error_high_q,posterior_predictive_tv_p_value,ppc_draws,n_seeds,seed_min,seed_max,seed_list,posterior_predictive_tv_p_value_status
targeted_strong_lower_override,ALL,379.0,0.07207816373003606,0.03807347533357435,0.19509508158316258,0.23090204050375585,0.15882387677371976,0.39394159054296085,0.3731515654991237,0.8372725528828427,0.9413257603618762,0.6507537688442211,0.3040201005025125,199.0,0.0,0.32384258749935485,0.4683646423897808,0.19950041866519813,0.3128544582043877,1.0,300.0,2,20260511,20260512,20260511;20260512,computed_overall
targeted_strong_lower_override,Chicken,93.0,0.06168506557282715,0.0286429949021161,0.13495414378958964,0.22891723489556887,0.1672321693227416,0.4016967190006573,0.3689085558458076,0.7065332856364186,0.8532677955199097,0.6938775510204082,0.22448979591836732,49.0,0.0,0.2463947488267716,0.3633432742431591,0.1811274709858881,0.31503265397498936,,300.0,2,20260511,20260512,20260511;20260512,not_computed_system_specific
targeted_strong_lower_override,ELIZA,50.0,0.05947323100850265,0.0340766954053807,0.1491117506564457,0.2171278627504217,0.1576546317419191,0.5101542395227955,0.4153638406798087,0.8993781142081,0.9413257603618762,0.53,0.42000000000000004,50.0,0.0,0.43719317079722103,0.5510584256316104,0.29967131351237253,0.5476696991666328,,300.0,2,20260511,20260512,20260511;20260512,not_computed_system_specific
targeted_strong_lower_override,Human,50.0,0.0612447273441325,0.03835608463008025,0.12918956278783245,0.24736093223151234,0.1861162048873798,0.5481235241633053,0.4994139066020574,0.8923702675201766,0.9350319554307864,0.9299999999999999,0.42000000000000004,50.0,0.0,0.3980731517606753,0.49435404483787937,0.21939560753321619,0.4192467761075281,,300.0,2,20260511,20260512,20260511;20260512,not_computed_system_specific
targeted_strong_lower_override,LLMs,186.0,0.0835753496654784,0.039644378145179904,0.24780694257612662,0.2311727460028971,0.14759739633741864,0.3173773105613764,0.2850383169889137,0.5630662004699385,0.7425533126426536,0.44999999999999996,0.15000000000000002,50.0,0.0,0.1749623872652205,0.28697575027026323,0.13765017685109626,0.14326038391147886,,300.0,2,20260511,20260512,20260511;20260512,not_computed_system_specific
